id,name,lastUpdated,created,shortName,displayName,displayShortName,displayNumeratorDescription,denominatorDescription,displayDenominatorDescription,numeratorDescription,dimensionItem,displayFormName,numerator,denominator,dimensionItemType,indicatorType,indicatorGroups
"A0utHTE9eDJ","%eligible HEI tested with 1st AB test and results available","2017-02-01T21:56:24.969000Z","2013-07-24T08:32:40.405000Z","%eligible HEI tested with 1st AB test","%eligible HEI tested with 1st AB test and results available","%eligible HEI tested with 1st AB test","Eligible HEI tested with 1st AB test and results available","%eligible HEI expected tested with 1st AB test and results available","%eligible HEI expected tested with 1st AB test and results available","Eligible HEI tested with 1st AB test and results available","A0utHTE9eDJ","%eligible HEI tested with 1st AB test and results available","#{EmDUlUXSdWw.C0JkKJwjz0z}","#{EmDUlUXSdWw.kKduCnnIOk7}","INDICATOR","gmR4Yqwh6TY","aLAsX2SDTL2,b8otRdixOVE,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,ELK8kWIGThj,FY80wPmpcGR,kZdf3LmMFKF,pd24ijrPxT8,rwAsLJC6Dmq,tSKHyjCk1zl"
"A1yLvYomOz3","MOH 730Ba Tenofovir (TDF) 300mg Tabs Quantity Required","2016-05-27T12:46:30.184000Z","2016-05-27T12:46:30.181000Z","MOH 730Ba Tenofovir (TDF) 300mg Tabs Quantity Requ","MOH 730Ba Tenofovir (TDF) 300mg Tabs Quantity Required","MOH 730Ba Tenofovir (TDF) 300mg Tabs Quantity Requ","MOH 730Ba Tenofovir (TDF) 300mg Tabs Quantity Required","null","null","MOH 730Ba Tenofovir (TDF) 300mg Tabs Quantity Required","A1yLvYomOz3","MOH 730Ba Tenofovir (TDF) 300mg Tabs Quantity Required","(#{slIsNAnY5WS.YS0bTLh3Q4O}*2)-#{slIsNAnY5WS.D7WnuXFK7PR}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"A3hCPRmBEc1","PMI_AL6 MoS Stock","2019-04-23T15:26:22.497000Z","2019-04-23T15:26:22.497000Z","AL6 MoS Stock","PMI_AL6 MoS Stock","AL6 MoS Stock","KSS","Adjusted consumption","Adjusted consumption","KSS","A3hCPRmBEc1","PMI_AL6 MoS Stock","#{Aui7lNDOsSF.HMTuusGLTUj}","#{jfUzb86mBSP.miM6uIJ2cWx}","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,v3p421EJ50L,VePi73lntgX,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"A3jk19TU6zN","Female 10-14yrs tested for HIV (EPTB)","2020-09-18T10:14:30.889000Z","2012-11-04T09:13:38.193000Z","Female 10-14yrs","Female 10-14yrs tested for HIV (EPTB)","Female 10-14yrs","Female 10-14 yrs tested for HIV (EPTB)","Female 10-14 New EPTB","Female 10-14 New EPTB","Female 10-14 yrs tested for HIV (EPTB)","A3jk19TU6zN","Female 10-14yrs tested for HIV (EPTB)","#{tZYhz9UkfxJ.evzSmUUZM1g}","#{jJSUs0JbSra.evzSmUUZM1g}","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,ILjnvZREKIe,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,qQrGvRPfU9v,rBAAPO26hBv,rvdxnecKX3y,rwAsLJC6Dmq,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,ZG0OtMj5p9K"
"a3S0L5T9S6h","TBS_CDRR rev2017 Aggregated Dispensed R/H/Z/E 150/75/400/275 mg Tablets","2017-11-21T09:16:16.415000Z","2017-11-21T09:16:16.415000Z","TBS_CDRRrev2017aggbal32","TBS_CDRR rev2017 Aggregated Dispensed R/H/Z/E 150/75/400/275 mg Tablets","TBS_CDRRrev2017aggbal32","TBS_CDRR rev2017 Aggregated Balance R/H/Z/E 150/75/400/275 mg Tablets numerator","TBS_CDRR rev2017 Aggregated Balance R/H/Z/E 150/75/400/275 mg Tablets denominator","TBS_CDRR rev2017 Aggregated Balance R/H/Z/E 150/75/400/275 mg Tablets denominator","TBS_CDRR rev2017 Aggregated Balance R/H/Z/E 150/75/400/275 mg Tablets numerator","a3S0L5T9S6h","TBS_CDRR rev2017 Aggregated Dispensed R/H/Z/E 150/75/400/275 mg Tablets","#{WoHyCSyeiPI.e2os98CantY}","1","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,FAaIPJ9q4ss,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,hUNI9zf72sM,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mf75s4n1mCi,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,nZyZuWGSH2k,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,OpM4vDvAs9W,Pa2NFhofhJ6,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,rCRBXEgblbx,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,UNB96kotIJU,v3p421EJ50L,VePi73lntgX,WBQEM00Kjl7,wi2yLsuEfLu,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,yxBBiKKFi5S,ZG0OtMj5p9K"
"a3V32qFZV39","MoH 730A rev2017 Aggregated Dispensed Adult preparations Tenofovir/Lamivudine (TDF/3TC) FDC (300/300mg) Tablets 30s","2017-11-21T09:59:05.216000Z","2017-11-21T09:59:05.216000Z","Moh730Arev2017aggdispensed23","MoH 730A rev2017 Aggregated Dispensed Adult preparations Tenofovir/Lamivudine (TDF/3TC) FDC (300/300mg) Tablets 30s","Moh730Arev2017aggdispensed23","MoH 730A rev2017 Aggregated Dispensed Adult preparations Tenofovir/Lamivudine (TDF/3TC) FDC (300/300mg) Tablets 30s numerator","MoH 730A rev2017 Aggregated Dispensed Adult preparations Tenofovir/Lamivudine (TDF/3TC) FDC (300/300mg) Tablets 30s denominator","MoH 730A rev2017 Aggregated Dispensed Adult preparations Tenofovir/Lamivudine (TDF/3TC) FDC (300/300mg) Tablets 30s denominator","MoH 730A rev2017 Aggregated Dispensed Adult preparations Tenofovir/Lamivudine (TDF/3TC) FDC (300/300mg) Tablets 30s numerator","a3V32qFZV39","MoH 730A rev2017 Aggregated Dispensed Adult preparations Tenofovir/Lamivudine (TDF/3TC) FDC (300/300mg) Tablets 30s","#{VJMNX2JtVAL.yP6vevc91WZ}","1","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"a588JwUG3CF","MoH 730A rev2017 Aggregated Physical Stock TB/ HIV DRUGS Ethambutol 400mg Tab (for Pack of 28 tabs) 28s","2017-11-21T10:07:21.223000Z","2017-11-21T10:07:21.223000Z","Moh730Arev2017aggstock18","MoH 730A rev2017 Aggregated Physical Stock TB/ HIV DRUGS Ethambutol 400mg Tab (for Pack of 28 tabs) 28s","Moh730Arev2017aggstock18","MoH 730A rev2017 Aggregated Physical Stock TB/ HIV DRUGS Ethambutol 400mg Tab (for Pack of 28 tabs) 28s numerator","MoH 730A rev2017 Aggregated Physical Stock TB/ HIV DRUGS Ethambutol 400mg Tab (for Pack of 28 tabs) 28s denominator","MoH 730A rev2017 Aggregated Physical Stock TB/ HIV DRUGS Ethambutol 400mg Tab (for Pack of 28 tabs) 28s denominator","MoH 730A rev2017 Aggregated Physical Stock TB/ HIV DRUGS Ethambutol 400mg Tab (for Pack of 28 tabs) 28s numerator","a588JwUG3CF","MoH 730A rev2017 Aggregated Physical Stock TB/ HIV DRUGS Ethambutol 400mg Tab (for Pack of 28 tabs) 28s","#{XYarFhtrZnM.GvjV9gy3OOc}","1","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,VePi73lntgX,WWzWuhisQ2q,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"A5We2TRBbmR","Death rate among TB cases notified","2017-02-01T21:56:23.891000Z","2016-08-18T09:30:52.537000Z","TB_CT Death rate among TB cases notified","Death rate among TB cases notified","TB_CT Death rate among TB cases notified","umber of TB cases  (all forms) who die before starting and during the course of treatment","Total number of TB cases evaluated in the same period","Total number of TB cases evaluated in the same period","umber of TB cases  (all forms) who die before starting and during the course of treatment","A5We2TRBbmR","Death rate among TB cases notified","#{YpM2CXCPZbf.Xc27LcZstD5} + #{m7BMQu4HYRT.rf6Umm9tJJo} + #{yEyrFyJryXL.OMQWRyqq6aA} + #{H61J8pIAjLQ.Lf8OCNIaUZ2} + #{Z9AVW5bKTaG.rH2x9vLTldI}","#{YpM2CXCPZbf.oTxLi0v4fb1} + #{m7BMQu4HYRT.W1sDC9IzJ1d} + #{yEyrFyJryXL.ufORzeLtcEl} + #{H61J8pIAjLQ.Z5hHUGiaOh4} + #{Z9AVW5bKTaG.wiD5SVABQHR}","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,foNgmbVZNIB,FY80wPmpcGR,ILjnvZREKIe,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mwndwamx3WU,O10fUexNsCl,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,qQrGvRPfU9v,rvdxnecKX3y,rwAsLJC6Dmq,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,WWzWuhisQ2q,YpfJ35AQEKw,ZG0OtMj5p9K"
"A6F6kUm24r7","Percentage of Women of Reproductive Age screened for cervical cancer in the facility Scorecard","2016-06-15T07:31:05.953000Z","2016-06-13T10:18:42.109000Z","Percentage of Women of Reproductive Age screened","Percentage of Women of Reproductive Age screened for cervical cancer in the facility Scorecard","Percentage of Women of Reproductive Age screened","No of Women of Reproductive Age screened for cervical cancer in the facility  Scorecard","No. of women of reproductive age in the catchment population Scorecard","No. of women of reproductive age in the catchment population Scorecard","No of Women of Reproductive Age screened for cervical cancer in the facility  Scorecard","A6F6kUm24r7","Percentage of Women of Reproductive Age screened for cervical cancer in the facility Scorecard","#{G9COyloYLYa.qWama2bwQZR}+#{G9COyloYLYa.FqagtL5h8ni}+#{kl4RvWOGb7x.qWama2bwQZR}+#{kl4RvWOGb7x.FqagtL5h8ni}","#{bPQDV3mud0v.NhSoXUMPK2K}","INDICATOR","gmR4Yqwh6TY","aHA4B9Ubgec,aLAsX2SDTL2,ap8CrNDd9cW,b8otRdixOVE,bbObIZnDVGa,bdp38hGEjbD,bgwUT6SC5OS,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,C4ToS1lYxV4,CZRNQxnNaCz,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,F0KmwJQdQ05,fJGG6QQIQBt,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,HTAoNvBAr9S,ILjnvZREKIe,J2WOh2mKvFX,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kgtSzOCSMRz,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,Lk0VAWnSLzN,mVgPQPypBUb,mwndwamx3WU,N3UGYnhqhM4,NfpY4dDnNKH,O10fUexNsCl,o9ZDTUb3836,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,PW9HTNw7Gjc,qL2KXlYDW5G,qQrGvRPfU9v,quxsURVhvlw,rBAAPO26hBv,RhQpITLbWlf,rvdxnecKX3y,rwAsLJC6Dmq,s1Q2w1R9Owj,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,u3WTXBMZc9T,v3p421EJ50L,VePi73lntgX,wQ5hSHdcGfT,WWzWuhisQ2q,Ym44sNLgAnM,YpfJ35AQEKw,YUgK6HcT79P,ZG0OtMj5p9K"
"a77XVF0FRdn","EAC Population under one year","2017-02-01T21:56:23.049000Z","2014-04-23T15:40:37.786000Z","Population < 1 yr","EAC Population under one year","Population < 1 yr","Population under 1","","","Population under 1","a77XVF0FRdn","EAC Population under one year","#{pMbuvKvH4rg.NhSoXUMPK2K}","1","INDICATOR","RoofAsu1276","aHA4B9Ubgec,aLAsX2SDTL2,b8otRdixOVE,bdp38hGEjbD,BIxF7jWIHFF,BO988GSyf0X,BpL03nl4Ocf,ddm2ypsdPCV,ELK8kWIGThj,eqvpCDa4Bfn,EVdmyCqaRuV,foNgmbVZNIB,FY80wPmpcGR,GHNwcpeNXm0,ILjnvZREKIe,JAZ4pl451fQ,ji8qxM6Z9Pm,JKQJGg8QXcv,kZdf3LmMFKF,L5ypsqd9vf7,lBD0xqWqgqi,LfgaY9O4EP8,mwndwamx3WU,N3UGYnhqhM4,O10fUexNsCl,oDB3r1mZHZv,oluwuVI5azo,pd24ijrPxT8,qQrGvRPfU9v,rBAAPO26hBv,rvdxnecKX3y,rwAsLJC6Dmq,t0UQvqyJw19,Ti3h3UgLsxt,tSKHyjCk1zl,TY17QjKrsoU,v3p421EJ50L,WWzWuhisQ2q,YpfJ35AQEKw,ZG0OtMj5p9K"
