orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2021,Jan to Mar 2022,Apr to Jun 2022
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,200.0,199.0,55.0
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,130.0,191.0,151.0
Kenya,Nyamira County,Manga Sub County,Kamera Ward,Amaiga Dispensary (Manga),I0XMM153kdB,Amaiga Dispensary (Manga),Keipsl20684,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,138.0,75.0,107.0
Kenya,Nyamira County,Borabu Sub County,Kiabonyoru Ward,Amatierio Dispensary,O2e5aTSFGVQ,Amatierio Dispensary,Keipsl13475,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,93.0,120.0,78.0
Kenya,Migori County,Nyatike Sub County,Got kachola Ward,Aneko Dispensary,GTQL2pAye6e,Aneko Dispensary,Keipsl13478,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,107.0,107.0,46.0
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,127.0,117.0,98.0
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,219.0,189.0,131.0
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,409.0,380.0,225.0
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,563.0,449.0,509.0
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,klUQjnHkv0E,Bande Dispensary,Keipsl13494,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,143.0,165.0,82.0
