orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,101,155,
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,zK5jhRlWfuF,Ahmadiya Hospital,Keipsl15791,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,121,94,142
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,157,171,
Kenya,Migori County,Nyatike Sub County,Got kachola Ward,Aneko Dispensary,GTQL2pAye6e,Aneko Dispensary,Keipsl13478,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,70,54,
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,34,299,
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,184,136,
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,Ap Line Dispensary,pXZta4blytq,Ap Line Dispensary,Keipsl15801,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,567,301,472
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,A3IpxcyxV9h,Approved Dispensary,Keipsl15804,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,266,275,330
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,211,568,
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,661,770,
