orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Tharaka Nithi County,Chuka Sub County,Karingani Ward,Afya Bora Clinic (Meru South),yLUrPn8o7pL,Afya Bora Clinic (Meru South),11919,,F6gxWRewVEy,Total Tested,,,14,32,12
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,F6gxWRewVEy,Total Tested,,,48,195,288
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,F6gxWRewVEy,Total Tested,,,,42,50
Kenya,Kakamega County,Butere Sub County,Marama West Ward,Alpha Medical Clinic (Butere),UWRuxmyHSCV,Alpha Medical Clinic (Butere),17850,,F6gxWRewVEy,Total Tested,,,,11,15
Kenya,Kakamega County,Mumias West Sub County,Mumias Central Ward,Alphond Medical Centre,z8IPdXLqiOf,Alphond Medical Centre,21149,Private owned facility located behind Equity Bank Mumias,F6gxWRewVEy,Total Tested,,,27,25,15
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Aneko Dispensary,ZjLUO5whjGS,Aneko Dispensary,13478,,F6gxWRewVEy,Total Tested,,,74,79,92
Kenya,Migori County,Awendo Sub County,South Sakwa Ward,Angaga Dispensary,dWATcMI6XJL,Angaga Dispensary,17050,,F6gxWRewVEy,Total Tested,,,12,44,69
Kenya,Migori County,Awendo Sub County,North Sakwa Ward,Angogo dispensary,x0kcyZYsS7A,Angogo dispensary,22975,,F6gxWRewVEy,Total Tested,,,36,24,36
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,xaQ9Z2jrxRM,Anjego Dispensary,13480,located in suba East division and its a GOK facility,F6gxWRewVEy,Total Tested,,,71,44,208
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,AP Line Dispensary,tmOunpxPDt9,AP Line Dispensary,15801,,F6gxWRewVEy,Total Tested,,,42,22,174
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Apilo Dispensary,JDKSNiODyj1,Apilo Dispensary,25519,,F6gxWRewVEy,Total Tested,,,,,5
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,wP6cPKxmPwl,Approved Dispensary,15804,,F6gxWRewVEy,Total Tested,,,32,58,101
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,F6gxWRewVEy,Total Tested,,,107,96,171
Kenya,Migori County,Awendo Sub County,Central Sakwa Ward,Awendo Sub County Hospital,ZBtoRProc6e,Awendo Sub County Hospital,13492,,F6gxWRewVEy,Total Tested,,,273,277,250
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,hLMDMOsAv6Y,Bande Dispensary,13494,,F6gxWRewVEy,Total Tested,,,32,26,63
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,F6gxWRewVEy,Total Tested,,,26,32,61
Kenya,Kakamega County,Likuyani Sub County,Nzoia Ward,Beggs Nursing Home (Matunda),redd34wc4hO,Beggs Nursing Home (Matunda),18626,,F6gxWRewVEy,Total Tested,,,30,27,33
Kenya,Migori County,Awendo Sub County,South Sakwa Ward,Bonde Dispensary (Awendo),frksdzNGn9R,Bonde Dispensary (Awendo),22974,,F6gxWRewVEy,Total Tested,,,43,43,43
Kenya,Migori County,Suna West Sub County,Waseweta II Ward,Bondo Dispensary,TRiVDQSVF92,Bondo Dispensary,21193,"Bondo is located along Migori Piny Oyie-Muhuru road , 1 km away from Bondo Nyonge market centre.",F6gxWRewVEy,Total Tested,,,54,68,40
Kenya,Migori County,Kuria West Sub County,Nyanmosense/Komosoko Ward,Borimagongo Dispensary,wJozP0NTKIa,Borimagongo Dispensary,25137,,F6gxWRewVEy,Total Tested,,,15,9,53
Kenya,Kakamega County,Navakholo Sub County,Bunyala Central Ward,Buchangu Dispensary,WYaAkILOP16,Buchangu Dispensary,15810,Dispensary,F6gxWRewVEy,Total Tested,,,12,10,48
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,gl9nmj6WvWP,Budonga Dispensary,15812,dispensary,F6gxWRewVEy,Total Tested,,,7,26,35
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,OQUMus9IsA1,Bugumbe Health Centre,13517,,F6gxWRewVEy,Total Tested,,,50,107,112
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,ndBnE6yUjoy,Bukaya Health Centre,15817,,F6gxWRewVEy,Total Tested,,,53,64,73
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Medical Centre,L9z3TRc6Csz,Bukaya Medical Centre,15818,,F6gxWRewVEy,Total Tested,,,32,32,32
Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,Bukura Health Centre,wcM6pww7h2a,Bukura Health Centre,15820,,F6gxWRewVEy,Total Tested,,,33,65,144
