orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,3,7,14
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,28,43,50
Kenya,Kakamega County,Likuyani Sub County,Likuyani Ward,Aligula Dispensary,tplYqAYx22z,Aligula Dispensary,29766,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,,2,5
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Aneko Dispensary,ZjLUO5whjGS,Aneko Dispensary,13478,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,4,5,18
Kenya,Migori County,Awendo Sub County,South Sakwa Ward,Angaga Dispensary,dWATcMI6XJL,Angaga Dispensary,17050,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,13,16,14
Kenya,Migori County,Awendo Sub County,North Sakwa Ward,Angogo dispensary,x0kcyZYsS7A,Angogo dispensary,22975,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,9,7,11
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,xaQ9Z2jrxRM,Anjego Dispensary,13480,located in suba East division and its a GOK facility,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,4,15,19
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,AP Line Dispensary,tmOunpxPDt9,AP Line Dispensary,15801,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,76,88,110
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Apilo Dispensary,JDKSNiODyj1,Apilo Dispensary,25519,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,,1,2
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,wP6cPKxmPwl,Approved Dispensary,15804,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,25,49,48
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,17,33,63
Kenya,Migori County,Awendo Sub County,Central Sakwa Ward,Awendo Sub County Hospital,ZBtoRProc6e,Awendo Sub County Hospital,13492,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,64,82,98
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,hLMDMOsAv6Y,Bande Dispensary,13494,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,2,11,9
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,7,16,9
Kenya,Kakamega County,Likuyani Sub County,Nzoia Ward,Beggs Nursing Home (Matunda),redd34wc4hO,Beggs Nursing Home (Matunda),18626,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,2,1,1
Kenya,Kakamega County,Likuyani Sub County,Nzoia Ward,Biberion Clinic,joqSiPin3nH,Biberion Clinic,15807,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,1,2,2
Kenya,Migori County,Suna West Sub County,Waseweta II Ward,Bondo Dispensary,TRiVDQSVF92,Bondo Dispensary,21193,"Bondo is located along Migori Piny Oyie-Muhuru road , 1 km away from Bondo Nyonge market centre.",ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,5,28,22
Kenya,Migori County,Kuria West Sub County,Nyanmosense/Komosoko Ward,Borimagongo Dispensary,wJozP0NTKIa,Borimagongo Dispensary,25137,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,1,8,9
Kenya,Kakamega County,Navakholo Sub County,Bunyala Central Ward,Buchangu Dispensary,WYaAkILOP16,Buchangu Dispensary,15810,Dispensary,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,13,23,18
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,gl9nmj6WvWP,Budonga Dispensary,15812,dispensary,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,19,20,23
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,OQUMus9IsA1,Bugumbe Health Centre,13517,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,20,49,42
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,ndBnE6yUjoy,Bukaya Health Centre,15817,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,15,24,39
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Medical Centre,L9z3TRc6Csz,Bukaya Medical Centre,15818,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,13,13,13
Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,Bukura Health Centre,wcM6pww7h2a,Bukura Health Centre,15820,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,79,32,25
Kenya,Kakamega County,Butere Sub County,Marama West Ward,Bululwe Dispensary,xc5Gf81YH48,Bululwe Dispensary,25831,,ssqPT53vnZf,MOH 731 Known HIV Status_Total HV02-07,Y18_HV02-07,,4,13,6
