orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,2.0,
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,Ap Line Dispensary,pXZta4blytq,Ap Line Dispensary,Keipsl15801,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,10.0,
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,7.0,
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,9.0,
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,klUQjnHkv0E,Bande Dispensary,Keipsl13494,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,5.0,
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,yQgOQVJkqn6,Budonga Dispensary,Keipsl15812,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,1.0,
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,jm9w4UwhbeW,Bugumbe Health Centre,Keipsl13517,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,18.0,
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,nZE4CPWj6FM,Bukaya Health Centre,Keipsl15817,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,5.0,
Kenya,Kakamega County,Mumias West Sub County,Musanda Ward,Bungasi Health Centre,b2WyhrQDYKL,Bungasi Health Centre,Keipsl15827,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,14.0,
Kenya,Kakamega County,Navakholo Sub County,Ingoste-Matiha Ward,Bushiri Health Centre,wDbE4GZnZsg,Bushiri Health Centre,Keipsl15833,,YxakI4GwXpD,FY23 Results Analytic Indicators: TB_PREV Total Numerator,,,,11.0,
