orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,603.0,606.0,
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,zK5jhRlWfuF,Ahmadiya Hospital,Keipsl15791,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,26.0,27.0,23.0
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,71.0,70.0,
Kenya,Migori County,Nyatike Sub County,Got kachola Ward,Aneko Dispensary,GTQL2pAye6e,Aneko Dispensary,Keipsl13478,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,280.0,280.0,
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,145.0,145.0,
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,350.0,348.0,
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,Ap Line Dispensary,pXZta4blytq,Ap Line Dispensary,Keipsl15801,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,487.0,496.0,506.0
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,A3IpxcyxV9h,Approved Dispensary,Keipsl15804,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,425.0,434.0,439.0
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,1155.0,1169.0,
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,2670.0,2631.0,
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,klUQjnHkv0E,Bande Dispensary,Keipsl13494,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,389.0,390.0,
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,132.0,133.0,137.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala Central Ward,Buchangu Dispensary,zzwYBJxxTXx,Buchangu Dispensary,Keipsl15810,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,54.0,53.0,53.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,yQgOQVJkqn6,Budonga Dispensary,Keipsl15812,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,91.0,92.0,94.0
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,jm9w4UwhbeW,Bugumbe Health Centre,Keipsl13517,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,435.0,440.0,
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,nZE4CPWj6FM,Bukaya Health Centre,Keipsl15817,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,676.0,666.0,684.0
Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,Bukura Health Centre,EwlTkDaI7gV,Bukura Health Centre,Keipsl15820,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,599.0,614.0,606.0
Kenya,Kakamega County,Mumias West Sub County,Musanda Ward,Bungasi Health Centre,b2WyhrQDYKL,Bungasi Health Centre,Keipsl15827,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,640.0,647.0,643.0
Kenya,Kakamega County,Navakholo Sub County,Ingoste-Matiha Ward,Bushiri Health Centre,wDbE4GZnZsg,Bushiri Health Centre,Keipsl15833,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,587.0,596.0,609.0
Kenya,Kakamega County,Butere Sub County,Marama Central Ward,Butere District Hospital,PYcrkJgyaPr,Butere District Hospital,Keipsl15836,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,1538.0,1534.0,1552.0
Kenya,Kakamega County,Butere Sub County,Marama West Ward,Butere Iranda Health Centre,lUYGxH6siib,Butere Iranda Health Centre,Keipsl18939,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,63.0,64.0,68.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Butingo Dispensary,BxrLKD84ZmD,Butingo Dispensary,Keipsl20043,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,78.0,79.0,83.0
Kenya,Migori County,Uriri Sub County,South kanyamkago Ward,Bware Dispensary,ERBzFWUNm2u,Bware Dispensary,Keipsl13519,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,349.0,352.0,
Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,Chebwai Mission Dispensary,y9UGkTqAyEC,Chebwai Mission Dispensary,Keipsl15849,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,119.0,124.0,123.0
Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,Chegulo Dispensary,N8hUAW89sj2,Chegulo Dispensary,Keipsl15850,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,69.0,85.0,90.0
Kenya,Kakamega County,Lugari Sub County,Chekalini Ward,Chekalini Dispensary,bGFvaIwXaDb,Chekalini Dispensary,Keipsl15851,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,290.0,306.0,313.0
Kenya,Kakamega County,Malava Sub County,South Kabras Ward,Chevoso Dispensary,KUohW8i0Gsf,Chevoso Dispensary,Keipsl15857,,DoSM94CRX88,COP22 Analytic Indicators: TX_CURR Total Numerator,,,207.0,211.0,219.0
