orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,2,2,3
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,1,2,1
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Aneko Dispensary,ZjLUO5whjGS,Aneko Dispensary,13478,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,1,1,1
Kenya,Migori County,Awendo Sub County,South Sakwa Ward,Angaga Dispensary,dWATcMI6XJL,Angaga Dispensary,17050,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,2,1,1
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,xaQ9Z2jrxRM,Anjego Dispensary,13480,located in suba East division and its a GOK facility,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,1,1,3
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,AP Line Dispensary,tmOunpxPDt9,AP Line Dispensary,15801,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,4,12,7
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,wP6cPKxmPwl,Approved Dispensary,15804,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,1,8,5
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,5,2,6
Kenya,Migori County,Awendo Sub County,Central Sakwa Ward,Awendo Sub County Hospital,ZBtoRProc6e,Awendo Sub County Hospital,13492,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,11,6,7
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,hLMDMOsAv6Y,Bande Dispensary,13494,,JljuWsCDpma,MOH 731 Enrolled_Total (Sum HV03-001 to HV03-010) HV03-011,Y18_HV03-011,,2,3,2
