orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,15.0,15.0,
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,zK5jhRlWfuF,Ahmadiya Hospital,Keipsl15791,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,1.0,1.0,1.0
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,,1.0,
Kenya,Migori County,Nyatike Sub County,Got kachola Ward,Aneko Dispensary,GTQL2pAye6e,Aneko Dispensary,Keipsl13478,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,3.0,2.0,
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,4.0,2.0,
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,4.0,2.0,
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,Ap Line Dispensary,pXZta4blytq,Ap Line Dispensary,Keipsl15801,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,18.0,9.0,8.0
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,A3IpxcyxV9h,Approved Dispensary,Keipsl15804,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,5.0,7.0,4.0
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,9.0,16.0,
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,23.0,18.0,
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,klUQjnHkv0E,Bande Dispensary,Keipsl13494,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,3.0,11.0,
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,,2.0,2.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,yQgOQVJkqn6,Budonga Dispensary,Keipsl15812,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,1.0,1.0,2.0
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,jm9w4UwhbeW,Bugumbe Health Centre,Keipsl13517,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,9.0,8.0,
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,nZE4CPWj6FM,Bukaya Health Centre,Keipsl15817,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,2.0,6.0,5.0
Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,Bukura Health Centre,EwlTkDaI7gV,Bukura Health Centre,Keipsl15820,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,2.0,4.0,5.0
Kenya,Kakamega County,Mumias West Sub County,Musanda Ward,Bungasi Health Centre,b2WyhrQDYKL,Bungasi Health Centre,Keipsl15827,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,2.0,4.0,9.0
Kenya,Kakamega County,Navakholo Sub County,Ingoste-Matiha Ward,Bushiri Health Centre,wDbE4GZnZsg,Bushiri Health Centre,Keipsl15833,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,5.0,6.0,9.0
Kenya,Kakamega County,Butere Sub County,Marama Central Ward,Butere District Hospital,PYcrkJgyaPr,Butere District Hospital,Keipsl15836,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,8.0,7.0,10.0
Kenya,Kakamega County,Butere Sub County,Marama West Ward,Butere Iranda Health Centre,lUYGxH6siib,Butere Iranda Health Centre,Keipsl18939,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,,,2.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Butingo Dispensary,BxrLKD84ZmD,Butingo Dispensary,Keipsl20043,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,,2.0,1.0
Kenya,Migori County,Uriri Sub County,South kanyamkago Ward,Bware Dispensary,ERBzFWUNm2u,Bware Dispensary,Keipsl13519,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,,5.0,
Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,Chebwai Mission Dispensary,y9UGkTqAyEC,Chebwai Mission Dispensary,Keipsl15849,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,1.0,3.0,
Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,Chegulo Dispensary,N8hUAW89sj2,Chegulo Dispensary,Keipsl15850,,lLzvNFrGnFz,FY22 Results Analytic Indicators: PMTCT_ART Total Numerator,,,1.0,1.0,1.0
