orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,Hp2jBjAsu8U,Number on Maternal HAART,,,4,5,4
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,Hp2jBjAsu8U,Number on Maternal HAART,,,4,4,4
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Aneko Dispensary,ZjLUO5whjGS,Aneko Dispensary,13478,,Hp2jBjAsu8U,Number on Maternal HAART,,,1,1,2
Kenya,Migori County,Awendo Sub County,South Sakwa Ward,Angaga Dispensary,dWATcMI6XJL,Angaga Dispensary,17050,,Hp2jBjAsu8U,Number on Maternal HAART,,,3,2,3
Kenya,Migori County,Awendo Sub County,North Sakwa Ward,Angogo dispensary,x0kcyZYsS7A,Angogo dispensary,22975,,Hp2jBjAsu8U,Number on Maternal HAART,,,1,1,1
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,xaQ9Z2jrxRM,Anjego Dispensary,13480,located in suba East division and its a GOK facility,Hp2jBjAsu8U,Number on Maternal HAART,,,1,1,3
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,AP Line Dispensary,tmOunpxPDt9,AP Line Dispensary,15801,,Hp2jBjAsu8U,Number on Maternal HAART,,,11,6,5
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Apilo Dispensary,JDKSNiODyj1,Apilo Dispensary,25519,,Hp2jBjAsu8U,Number on Maternal HAART,,,,1,1
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,wP6cPKxmPwl,Approved Dispensary,15804,,Hp2jBjAsu8U,Number on Maternal HAART,,,3,4,4
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,Hp2jBjAsu8U,Number on Maternal HAART,,,4,12,13
Kenya,Migori County,Awendo Sub County,Central Sakwa Ward,Awendo Sub County Hospital,ZBtoRProc6e,Awendo Sub County Hospital,13492,,Hp2jBjAsu8U,Number on Maternal HAART,,,6,9,21
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,hLMDMOsAv6Y,Bande Dispensary,13494,,Hp2jBjAsu8U,Number on Maternal HAART,,,3,5,3
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,Hp2jBjAsu8U,Number on Maternal HAART,,,2,3,3
Kenya,Migori County,Suna West Sub County,Waseweta II Ward,Bondo Dispensary,TRiVDQSVF92,Bondo Dispensary,21193,"Bondo is located along Migori Piny Oyie-Muhuru road , 1 km away from Bondo Nyonge market centre.",Hp2jBjAsu8U,Number on Maternal HAART,,,4,4,3
Kenya,Migori County,Kuria West Sub County,Nyanmosense/Komosoko Ward,Borimagongo Dispensary,wJozP0NTKIa,Borimagongo Dispensary,25137,,Hp2jBjAsu8U,Number on Maternal HAART,,,2,2,2
Kenya,Kakamega County,Navakholo Sub County,Bunyala Central Ward,Buchangu Dispensary,WYaAkILOP16,Buchangu Dispensary,15810,Dispensary,Hp2jBjAsu8U,Number on Maternal HAART,,,1,2,2
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,gl9nmj6WvWP,Budonga Dispensary,15812,dispensary,Hp2jBjAsu8U,Number on Maternal HAART,,,3,3,2
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,OQUMus9IsA1,Bugumbe Health Centre,13517,,Hp2jBjAsu8U,Number on Maternal HAART,,,5,3,4
