orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,28.0,33.0,
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,zK5jhRlWfuF,Ahmadiya Hospital,Keipsl15791,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,88.0,92.0,122.0
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,14.0,17.0,
Kenya,Migori County,Nyatike Sub County,Got kachola Ward,Aneko Dispensary,GTQL2pAye6e,Aneko Dispensary,Keipsl13478,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,10.0,15.0,
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,11.0,41.0,
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,22.0,46.0,
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,Ap Line Dispensary,pXZta4blytq,Ap Line Dispensary,Keipsl15801,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,212.0,159.0,260.0
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,A3IpxcyxV9h,Approved Dispensary,Keipsl15804,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,74.0,129.0,101.0
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,57.0,140.0,
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,190.0,225.0,
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,klUQjnHkv0E,Bande Dispensary,Keipsl13494,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,10.0,35.0,
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,21.0,36.0,30.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala Central Ward,Buchangu Dispensary,zzwYBJxxTXx,Buchangu Dispensary,Keipsl15810,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,38.0,52.0,71.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,yQgOQVJkqn6,Budonga Dispensary,Keipsl15812,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,49.0,67.0,60.0
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,jm9w4UwhbeW,Bugumbe Health Centre,Keipsl13517,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,66.0,149.0,
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,nZE4CPWj6FM,Bukaya Health Centre,Keipsl15817,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,59.0,71.0,103.0
Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,Bukura Health Centre,EwlTkDaI7gV,Bukura Health Centre,Keipsl15820,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,73.0,83.0,105.0
Kenya,Kakamega County,Mumias West Sub County,Musanda Ward,Bungasi Health Centre,b2WyhrQDYKL,Bungasi Health Centre,Keipsl15827,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,24.0,64.0,89.0
Kenya,Kakamega County,Navakholo Sub County,Ingoste-Matiha Ward,Bushiri Health Centre,wDbE4GZnZsg,Bushiri Health Centre,Keipsl15833,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,134.0,259.0,288.0
Kenya,Kakamega County,Butere Sub County,Marama Central Ward,Butere District Hospital,PYcrkJgyaPr,Butere District Hospital,Keipsl15836,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,102.0,196.0,215.0
Kenya,Kakamega County,Butere Sub County,Marama West Ward,Butere Iranda Health Centre,lUYGxH6siib,Butere Iranda Health Centre,Keipsl18939,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,20.0,38.0,35.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Butingo Dispensary,BxrLKD84ZmD,Butingo Dispensary,Keipsl20043,,Bd1sRVieTVy,FY20 Results Analytic Indicators: PMTCT_STAT Numerator,,,24.0,36.0,41.0
