orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,CoaZWJlOWNf,Currently On ART,,,604.0,607.0,608.0
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Hz0YZaxawTo,Ahmadiya Hospital,15791,,CoaZWJlOWNf,Currently On ART,,,28.0,30.0,27.0
Kenya,Migori County,Nyatike Sub County,Got Kachola Ward,Aneko Dispensary,ZjLUO5whjGS,Aneko Dispensary,13478,,CoaZWJlOWNf,Currently On ART,,,278.0,280.0,279.0
Kenya,Migori County,Awendo Sub County,South Sakwa Ward,Angaga Dispensary,dWATcMI6XJL,Angaga Dispensary,17050,,CoaZWJlOWNf,Currently On ART,,,145.0,146.0,158.0
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,xaQ9Z2jrxRM,Anjego Dispensary,13480,located in suba East division and its a GOK facility,CoaZWJlOWNf,Currently On ART,,,350.0,348.0,353.0
Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,AP Line Dispensary,tmOunpxPDt9,AP Line Dispensary,15801,,CoaZWJlOWNf,Currently On ART,,,487.0,497.0,506.0
Kenya,Kakamega County,Lurambi Sub County,Mahiakalo Ward,Approved Dispensary,wP6cPKxmPwl,Approved Dispensary,15804,,CoaZWJlOWNf,Currently On ART,,,426.0,434.0,439.0
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,CoaZWJlOWNf,Currently On ART,,,1154.0,1170.0,1179.0
Kenya,Migori County,Awendo Sub County,Central Sakwa Ward,Awendo Sub County Hospital,ZBtoRProc6e,Awendo Sub County Hospital,13492,,CoaZWJlOWNf,Currently On ART,,,2671.0,2632.0,2616.0
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,hLMDMOsAv6Y,Bande Dispensary,13494,,CoaZWJlOWNf,Currently On ART,,,389.0,390.0,391.0
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,CoaZWJlOWNf,Currently On ART,,,133.0,134.0,138.0
Kenya,Kakamega County,Likuyani Sub County,Nzoia Ward,Beggs Nursing Home (Matunda),redd34wc4hO,Beggs Nursing Home (Matunda),18626,,CoaZWJlOWNf,Currently On ART,,,37.0,38.0,31.0
Kenya,Kakamega County,Likuyani Sub County,Nzoia Ward,Biberion Clinic,joqSiPin3nH,Biberion Clinic,15807,,CoaZWJlOWNf,Currently On ART,,,5.0,5.0,5.0
Kenya,Migori County,Suna West Sub County,Waseweta II Ward,Bondo Dispensary,TRiVDQSVF92,Bondo Dispensary,21193,"Bondo is located along Migori Piny Oyie-Muhuru road , 1 km away from Bondo Nyonge market centre.",CoaZWJlOWNf,Currently On ART,,,,,6.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala Central Ward,Buchangu Dispensary,WYaAkILOP16,Buchangu Dispensary,15810,Dispensary,CoaZWJlOWNf,Currently On ART,,,57.0,61.0,61.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Budonga Dispensary,gl9nmj6WvWP,Budonga Dispensary,15812,dispensary,CoaZWJlOWNf,Currently On ART,,,92.0,92.0,96.0
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,OQUMus9IsA1,Bugumbe Health Centre,13517,,CoaZWJlOWNf,Currently On ART,,,435.0,440.0,433.0
Kenya,Kakamega County,Mumias West Sub County,Etenje Ward,Bukaya Health Centre,ndBnE6yUjoy,Bukaya Health Centre,15817,,CoaZWJlOWNf,Currently On ART,,,676.0,666.0,684.0
Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,Bukura Health Centre,wcM6pww7h2a,Bukura Health Centre,15820,,CoaZWJlOWNf,Currently On ART,,,599.0,619.0,606.0
Kenya,Kakamega County,Mumias West Sub County,Musanda Ward,Bungasi Health Centre,wXYxrsjOc8d,Bungasi Health Centre,15827,,CoaZWJlOWNf,Currently On ART,,,641.0,648.0,644.0
Kenya,Kakamega County,Ikolomani Sub County,Idakho Central Ward,Bushiangala Health Centre,rog82qbp7Oh,Bushiangala Health Centre,15832,,CoaZWJlOWNf,Currently On ART,,,27.0,27.0,27.0
Kenya,Kakamega County,Navakholo Sub County,Ingoste-matiha Ward,Bushiri Health Centre,dI28kasf8Jj,Bushiri Health Centre,15833,health centre,CoaZWJlOWNf,Currently On ART,,,587.0,597.0,610.0
Kenya,Kakamega County,Butere Sub County,Marama Central Ward,Butere Sub County Hospital,OVV0fHS7fux,Butere Sub County Hospital,15836,,CoaZWJlOWNf,Currently On ART,,,1538.0,1534.0,1552.0
Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,Butingo Dispensary,Tns72Eh3EfT,Butingo Dispensary,20043,,CoaZWJlOWNf,Currently On ART,,,78.0,79.0,83.0
Kenya,Kakamega County,Shinyalu Sub County,Isukha North Ward,Buyangu Dispensary,HgUWMWpA1gT,Buyangu Dispensary,20752,,CoaZWJlOWNf,Currently On ART,,,16.0,24.0,16.0
Kenya,Kakamega County,Ikolomani Sub County,Idakho Central Ward,Buyemi Dispensary(Ikolomani),O9z0alrbAid,Buyemi Dispensary(Ikolomani),22544,,CoaZWJlOWNf,Currently On ART,,,47.0,54.0,64.0
Kenya,Migori County,Uriri Sub County,South Kanyamkago Ward,Bware Health Center,wd25QXppWr2,Bware Health Center,13519,,CoaZWJlOWNf,Currently On ART,,,349.0,353.0,342.0
Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,Chebwai Mission Dispensary,JTL8OVhlUqF,Chebwai Mission Dispensary,15849,,CoaZWJlOWNf,Currently On ART,,,119.0,124.0,124.0
Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,Chegulo Dispensary,LJ5JNqUKr2k,Chegulo Dispensary,15850,,CoaZWJlOWNf,Currently On ART,,,69.0,85.0,91.0
Kenya,Kakamega County,Lugari Sub County,Chekalini Ward,Chekalini Health Centre,Ci1bld843vy,Chekalini Health Centre,15851,,CoaZWJlOWNf,Currently On ART,,,291.0,304.0,314.0
Kenya,Kakamega County,Shinyalu Sub County,Isukha Central Ward,Chepkombe Dispensary,QH0LOZZ4RPb,Chepkombe Dispensary,21088,About 100m from Shagungu Primary school,CoaZWJlOWNf,Currently On ART,,,20.0,21.0,20.0
Kenya,Kakamega County,Malava Sub County,South Kabras Ward,Chevoso Dispensary,mfEvntdmjUe,Chevoso Dispensary,15857,,CoaZWJlOWNf,Currently On ART,,,208.0,211.0,223.0
Kenya,Tharaka Nithi County,Tharaka South Sub County,Chiakagira Ward,Chiakariga Health Centre,lwUfSBkSOE0,Chiakariga Health Centre,11969,,CoaZWJlOWNf,Currently On ART,,,225.0,226.0,221.0
Kenya,Kakamega County,Shinyalu Sub County,Isukha South Ward,Chief Milimu Dispensary,cMV2EgW6Tza,Chief Milimu Dispensary,16144,,CoaZWJlOWNf,Currently On ART,,,155.0,158.0,167.0
Kenya,Kakamega County,Malava Sub County,Manda-shivanga Ward,Chimoi Dispensary,D4qI2X6dXcu,Chimoi Dispensary,15858,,CoaZWJlOWNf,Currently On ART,,,134.0,148.0,152.0
Kenya,Migori County,Kuria East Sub County,Nyabasi West Ward,Chinato Health Centre,kVVmxGZKCfA,Chinato Health Centre,13526,,CoaZWJlOWNf,Currently On ART,,,197.0,196.0,200.0
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Chogoria (PCEA) Hospital,XgnBT8Pug4r,Chogoria (PCEA) Hospital,11970,,CoaZWJlOWNf,Currently On ART,,,2666.0,2667.0,2672.0
Kenya,Kakamega County,Malava Sub County,Shirungu-mugai Ward,Chombeli Health Centre,S9Q1bx9tpZz,Chombeli Health Centre,15859,,CoaZWJlOWNf,Currently On ART,,,267.0,273.0,282.0
Kenya,Tharaka Nithi County,Chuka Sub County,Karingani Ward,Chuka County Refferal Hospital,sD0C4mSXA4H,Chuka County Refferal Hospital,11973,,CoaZWJlOWNf,Currently On ART,,,1319.0,1354.0,1363.0
Kenya,Tharaka Nithi County,Chuka Sub County,Karingani Ward,Chuka Dice,SZ5jx60nzdK,Chuka Dice,19882,,CoaZWJlOWNf,Currently On ART,,,187.0,215.0,206.0
Kenya,Migori County,Awendo Sub County,West Sakwa Ward,Dede Health Centre,WG7O02P8x4T,Dede Health Centre,13532,,CoaZWJlOWNf,Currently On ART,,,1260.0,1268.0,1268.0
Kenya,Migori County,Nyatike Sub County,Kachien'g Ward,DICE Clinic Karungu,tAKPrTA5jzk,DICE Clinic Karungu,19929,,CoaZWJlOWNf,Currently On ART,,,321.0,329.0,332.0
Kenya,Migori County,Nyatike Sub County,Muhuru Ward,DICE Clinic Muhuru,WwYfrsmafhY,DICE Clinic Muhuru,19930,,CoaZWJlOWNf,Currently On ART,,,421.0,423.0,429.0
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Diruma Dispensary,LYR8fhhFOaQ,Diruma Dispensary,16268,,CoaZWJlOWNf,Currently On ART,,,167.0,167.0,168.0
Kenya,Kakamega County,Khwisero Sub County,Kisa West Ward,Ebuhala Health Centre,Ky6P5BmX0sQ,Ebuhala Health Centre,20515,,CoaZWJlOWNf,Currently On ART,,,129.0,126.0,128.0
Kenya,Kakamega County,Khwisero Sub County,Kisa Central Ward,Ekambuli Health Centre,W1S8ml7ActI,Ekambuli Health Centre,20673,,CoaZWJlOWNf,Currently On ART,,,76.0,81.0,87.0
Kenya,Kakamega County,Mumias East Sub County,East Wanga Ward,Eluche Dispensary,iWFObHTUbzT,Eluche Dispensary,18361,About 5km along Mumias - Kakamega road,CoaZWJlOWNf,Currently On ART,,,74.0,82.0,79.0
Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,Elukhambi Dispensary,pZd75ZZ55tI,Elukhambi Dispensary,15872,,CoaZWJlOWNf,Currently On ART,,,70.0,69.0,70.0
Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Elwakana Dispensary,rD34qFui1sH,Elwakana Dispensary,22668,,CoaZWJlOWNf,Currently On ART,,,23.0,22.0,24.0
