orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.dRjezxQktoz,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Female, Positive",,1,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",1,1,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",1,3,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",4,3,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",2,3,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",,1,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",3,3,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",2,1,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",4,3,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",7,8,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",9,3,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",3,2,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.J8fGj3Iefbc,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Female, Positive",5,9,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.zUjkTTlva36,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Male, Positive",5,5,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.zLbjm4E1NsG,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 5-9, Female, Positive",1,1,
Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,Barwessa Healthcentre,gtUQIME9Wtc,Barwessa Healthcentre,Keipsl14243,Hyvw9VnZ2ch.p1HABZs9ydt,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 5-9, Male, Positive",,1,
