orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",,,2
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",,1,1
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",5,5,5
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",1,3,5
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",8,9,9
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",2,5,7
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",6,6,12
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",5,3,5
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",5,6,8
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.XcW5HWccYYZ,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Male, Positive",3,,
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",5,5,7
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",2,2,3
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.J8fGj3Iefbc,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Female, Positive",1,2,2
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.zUjkTTlva36,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Male, Positive",1,,
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.VdMgEQkOtuV,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Female, Positive",1,1,1
Kenya,Bungoma County,Kanduyi Sub County,Bukembe east Ward,Ace Africa (k) Wellness Centre,nEwHdsmfYro,Ace Africa (k) Wellness Centre,Keipsl20823,Hyvw9VnZ2ch.i1yTaswn4qW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Male, Positive",1,1,1
Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward,Bahai Dispensary,LJWFEcg7hmT,Bahai Dispensary,Keipsl17190,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",2,2,2
Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward,Bahai Dispensary,LJWFEcg7hmT,Bahai Dispensary,Keipsl17190,Hyvw9VnZ2ch.AG0milXShQM,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",1,1,1
Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward,Bahai Dispensary,LJWFEcg7hmT,Bahai Dispensary,Keipsl17190,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",1,1,1
Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward,Bahai Dispensary,LJWFEcg7hmT,Bahai Dispensary,Keipsl17190,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",1,1,2
Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward,Bahai Dispensary,LJWFEcg7hmT,Bahai Dispensary,Keipsl17190,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",1,1,1
Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward,Bahai Dispensary,LJWFEcg7hmT,Bahai Dispensary,Keipsl17190,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",10,11,11
