orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.dRjezxQktoz,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Female, Positive",2,2,2
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",2,2,1
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.AG0milXShQM,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",1,1,2
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",,,1
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",2,2,1
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",5,5,4
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",1,1,1
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",10,10,10
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",1,1,2
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",4,4,4
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,VmemRezEHJf,Aboloi Dispensary,Keipsl15789,,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",5,5,6
