orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.dRjezxQktoz,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Female, Positive",1,1,
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",,1,1
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.AG0milXShQM,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",1,1,1
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",3,3,3
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",3,3,2
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",1,1,1
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",7,6,10
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",4,4,3
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",15,17,17
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",5,5,6
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",24,20,21
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",6,7,5
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",43,44,37
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.XcW5HWccYYZ,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Male, Positive",14,15,15
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",39,38,42
Kenya,Embu County,Runyenjes Sub County,Kaagari South Ward,Acef Ena Health Centre,VUv3MNGbLMe,Acef Ena Health Centre,Keipsl12791,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",18,18,20
