orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2021,Jan to Mar 2022,Apr to Jun 2022
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,200,199,55
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,130,191,151
Kenya,Nyamira County,Manga Sub County,Kamera Ward,Amaiga Dispensary (Manga),I0XMM153kdB,Amaiga Dispensary (Manga),Keipsl20684,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,138,75,107
Kenya,Nyamira County,Borabu Sub County,Kiabonyoru Ward,Amatierio Dispensary,O2e5aTSFGVQ,Amatierio Dispensary,Keipsl13475,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,93,120,78
Kenya,Migori County,Nyatike Sub County,Got kachola Ward,Aneko Dispensary,GTQL2pAye6e,Aneko Dispensary,Keipsl13478,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,107,107,46
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,127,117,98
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,219,189,131
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,409,380,225
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,563,449,509
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,klUQjnHkv0E,Bande Dispensary,Keipsl13494,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,143,165,82
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,193,232,242
Kenya,Nyamira County,Manga Sub County,Magombo Ward,Bogwendo Health Centre(Manga),QHkoc3lutwI,Bogwendo Health Centre(Manga),Keipsl13504,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,35,43,36
Kenya,Nyamira County,Nyamira Sub County,Bogichora Ward,Bosiango Health Centre,hPtvTrJDZxh,Bosiango Health Centre,Keipsl13514,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,114,113,92
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,jm9w4UwhbeW,Bugumbe Health Centre,Keipsl13517,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,217,265,214
Kenya,Migori County,Uriri Sub County,South kanyamkago Ward,Bware Dispensary,ERBzFWUNm2u,Bware Dispensary,Keipsl13519,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,184,342,168
Kenya,Nyamira County,Borabu Sub County,Esise Ward,Chepngombe Health Centre,d58XqEBxaDp,Chepngombe Health Centre,Keipsl13523,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,107,62,59
Kenya,Nyamira County,Nyamira North Sub County,Itibo Ward,China Dispensary,cnBWgqYkPsp,China Dispensary,Keipsl13525,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,89,75,40
Kenya,Migori County,Kuria East Sub County,Nyabasi west Ward,Chinato Dispensary,S5VCIpeziQF,Chinato Dispensary,Keipsl13526,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,155,197,194
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,385,547,247
Kenya,Migori County,Awendo Sub County,West sakwa Ward,Dede Dispensary,UqBhl4wPucH,Dede Dispensary,Keipsl13532,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,318,257,211
Kenya,Migori County,Suna East Sub County,Suna central Ward,Dice Clinic Migori,MatE8La738E,Dice Clinic Migori,Keipsl18897,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,227,295,295
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Duruma,HkslWRBHgWw,Duruma,Keipsl16268,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,230,144,71
Kenya,Nyamira County,Nyamira North Sub County,Ekerenyo Ward,Ekerenyo Sub-District Hospital,FNRDEAfJPMb,Ekerenyo Sub-District Hospital,Keipsl13540,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,420,554,410
Kenya,Nyamira County,Nyamira Sub County,Bogichora Ward,Embonga Health Centre,jANZbURSk7r,Embonga Health Centre,Keipsl13543,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,60,79,74
Kenya,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,Endarasha Rural Health Centre,Ilwot39G2oW,Endarasha Rural Health Centre,Keipsl10170,,mJnalMv97Ov,2019 Results Facility HTS_TST Total,,,212,449,176
