orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",1,1,1
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",1,1,1
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",5,5,5
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",,1,1
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",3,3,5
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",7,7,8
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.XcW5HWccYYZ,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Male, Positive",1,1,1
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",9,9,8
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",3,2,2
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.J8fGj3Iefbc,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Female, Positive",2,2,3
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.zUjkTTlva36,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Male, Positive",1,1,1
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.VdMgEQkOtuV,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Female, Positive",1,2,2
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.i1yTaswn4qW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Male, Positive",,1,2
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.yWgBf6UOK8d,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 55-59, Female, Positive",3,4,3
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.N9EXA1gNh16,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 55-59, Male, Positive",2,2,2
Kenya,Laikipia County,Laikipia West Sub County,Igwamiti Ward,Bennedict XVI Dispensary,Jm85dyoKzqD,Bennedict XVI Dispensary,Keipsl10056,Hyvw9VnZ2ch.ay6Bp2UGIE5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 60-64, Female, Positive",2,2,2
