orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Dec,Mar-23,Jun-23
Kenya,Lamu County,Lamu East Sub County,Faza Ward,Faza Hospital,aeKrwv19GI3,Faza Hospital,11373,located in Faza town next to Buntwa bridge,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,Y18_HV03-030,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",1,,
Kenya,Lamu County,Lamu East Sub County,Faza Ward,Faza Hospital,aeKrwv19GI3,Faza Hospital,11373,located in Faza town next to Buntwa bridge,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,Y18_HV03-032,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",1,1,
Kenya,Lamu County,Lamu East Sub County,Faza Ward,Faza Hospital,aeKrwv19GI3,Faza Hospital,11373,located in Faza town next to Buntwa bridge,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,Y18_HV03-034,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",1,2,
Kenya,Lamu County,Lamu East Sub County,Faza Ward,Faza Hospital,aeKrwv19GI3,Faza Hospital,11373,located in Faza town next to Buntwa bridge,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,Y18_HV03-037,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",11,8,16
Kenya,Lamu County,Lamu East Sub County,Faza Ward,Faza Hospital,aeKrwv19GI3,Faza Hospital,11373,located in Faza town next to Buntwa bridge,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,Y18_HV03-036,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",7,2,4
Kenya,Lamu County,Lamu Central Sub County,Hindi Ward,Hindi Magogoni Dispensary,bZaDWRI5ubJ,Hindi Magogoni Dispensary,11409,Hindi near DO'S office,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,Y18_HV03-029,,5,3,6
Kenya,Lamu County,Lamu Central Sub County,Hindi Ward,Hindi Magogoni Dispensary,bZaDWRI5ubJ,Hindi Magogoni Dispensary,11409,Hindi near DO'S office,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,Y18_HV03-031,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",2,3,3
Kenya,Lamu County,Lamu Central Sub County,Hindi Ward,Hindi Magogoni Dispensary,bZaDWRI5ubJ,Hindi Magogoni Dispensary,11409,Hindi near DO'S office,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,Y18_HV03-030,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",4,5,5
Kenya,Lamu County,Lamu Central Sub County,Hindi Ward,Hindi Magogoni Dispensary,bZaDWRI5ubJ,Hindi Magogoni Dispensary,11409,Hindi near DO'S office,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,Y18_HV03-033,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",6,5,4
Kenya,Lamu County,Lamu Central Sub County,Hindi Ward,Hindi Magogoni Dispensary,bZaDWRI5ubJ,Hindi Magogoni Dispensary,11409,Hindi near DO'S office,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,Y18_HV03-032,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",2,2,2
Kenya,Lamu County,Lamu Central Sub County,Hindi Ward,Hindi Magogoni Dispensary,bZaDWRI5ubJ,Hindi Magogoni Dispensary,11409,Hindi near DO'S office,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,Y18_HV03-035,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",8,1,3
