orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.dRjezxQktoz,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Female, Positive",1,1,1
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",,,1
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.AG0milXShQM,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",5,5,5
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",2,1,1
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",4,1,1
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",,1,1
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",5,6,6
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",3,2,2
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",9,11,11
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",2,,
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",23,19,18
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",5,7,5
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",27,23,23
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.XcW5HWccYYZ,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Male, Positive",14,11,15
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",20,19,18
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",14,11,10
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.J8fGj3Iefbc,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Female, Positive",13,13,17
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.zUjkTTlva36,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Male, Positive",9,7,6
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.zLbjm4E1NsG,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 5-9, Female, Positive",2,2,2
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.p1HABZs9ydt,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 5-9, Male, Positive",5,4,4
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.VdMgEQkOtuV,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Female, Positive",4,4,6
Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,YGtY9QtkwrW,Akachiu Health Centre,Keipsl11923,,Hyvw9VnZ2ch.i1yTaswn4qW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Male, Positive",8,8,9
