orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",1,1,1
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",1,1,1
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",2,2,3
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",5,5,5
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",2,2,2
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",6,6,7
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",6,6,6
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",2,2,2
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.J8fGj3Iefbc,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Female, Positive",4,4,4
Kenya,Nairobi County,Westlands Sub County,Parklands/highridge Ward,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,AAR Clinic Sarit Centre (Westlands),Keipsl16796,,Hyvw9VnZ2ch.zUjkTTlva36,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Male, Positive",1,1,1
