orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",1,1,1
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",1,,
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",5,5,5
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",4,5,5
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",9,5,5
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",5,5,3
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",9,6,6
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.XcW5HWccYYZ,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Male, Positive",3,6,5
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",7,6,6
Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,Afraha Maternity and Nursing Home,iiouXbdQUd4,Afraha Maternity and Nursing Home,Keipsl18382,,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",6,5,5
