orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2021,Jan to Mar 2022,Apr to Jun 2022
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,10,6,5
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,1,,
Kenya,Nyamira County,Manga Sub County,Kamera Ward,Amaiga Dispensary (Manga),I0XMM153kdB,Amaiga Dispensary (Manga),Keipsl20684,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,1,,1
Kenya,Migori County,Nyatike Sub County,Got kachola Ward,Aneko Dispensary,GTQL2pAye6e,Aneko Dispensary,Keipsl13478,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,4,1,1
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,1,1,6
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,3,3,3
Kenya,Migori County,Suna West Sub County,Wiga Ward,Arombe Dispensary,SQT8lWrwqSb,Arombe Dispensary,Keipsl13486,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,23,33,16
Kenya,Migori County,Awendo Sub County,Central sakwa Ward,Awendo Sub-District Hospital,cmZMsuhoR4j,Awendo Sub-District Hospital,Keipsl13492,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,26,36,27
Kenya,Migori County,Nyatike Sub County,Kaler Ward,Bande Dispensary,klUQjnHkv0E,Bande Dispensary,Keipsl13494,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,1,7,8
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,1,2,3
Kenya,Nyamira County,Nyamira Sub County,Bogichora Ward,Bosiango Health Centre,hPtvTrJDZxh,Bosiango Health Centre,Keipsl13514,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,2,1,2
Kenya,Migori County,Kuria West Sub County,Tagare Ward,Bugumbe Health Centre,jm9w4UwhbeW,Bugumbe Health Centre,Keipsl13517,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,8,9,8
Kenya,Migori County,Uriri Sub County,South kanyamkago Ward,Bware Dispensary,ERBzFWUNm2u,Bware Dispensary,Keipsl13519,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,2,3,1
Kenya,Nyamira County,Borabu Sub County,Esise Ward,Chepngombe Health Centre,d58XqEBxaDp,Chepngombe Health Centre,Keipsl13523,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,,1,2
Kenya,Migori County,Kuria East Sub County,Nyabasi west Ward,Chinato Dispensary,S5VCIpeziQF,Chinato Dispensary,Keipsl13526,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,,,1
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,7,6,4
Kenya,Migori County,Awendo Sub County,West sakwa Ward,Dede Dispensary,UqBhl4wPucH,Dede Dispensary,Keipsl13532,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,22,16,18
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Duruma,HkslWRBHgWw,Duruma,Keipsl16268,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,4,5,4
Kenya,Nyamira County,Nyamira North Sub County,Ekerenyo Ward,Ekerenyo Sub-District Hospital,FNRDEAfJPMb,Ekerenyo Sub-District Hospital,Keipsl13540,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,7,3,6
Kenya,Nyamira County,Nyamira Sub County,Bogichora Ward,Embonga Health Centre,jANZbURSk7r,Embonga Health Centre,Keipsl13543,,iAYee99BIjX,"PMTCT_ART (N, DSD, Age/NewExistingArt/Sex/HIVStatus): ART",PMTCT_ART_N_DSD_Age_NewExistingArt_Sex_HIV,Number of HIV-positive pregnant women who received ART to reduce the risk of mother-to-child-transmission during pregnancy,,1,1
