orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2021,Jan to Mar 2022,Apr to Jun 2022
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Agenga Dispensary,iE2kOG5KJX9,Agenga Dispensary,Keipsl13467,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,6.0,
Kenya,Migori County,Awendo Sub County,South sakwa Ward,Angaga Dispensary,vFS8Nnfec9y,Angaga Dispensary,Keipsl17050,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,3.0,
Kenya,Migori County,Suna East Sub County,Kakrao Ward,Anjego Dispensary,pGrf9xz0D26,Anjego Dispensary,Keipsl13480,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,8.0,
Kenya,Migori County,Kuria East Sub County,Nyabasi west Ward,Chinato Dispensary,S5VCIpeziQF,Chinato Dispensary,Keipsl13526,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,192.0,
Kenya,Migori County,Awendo Sub County,West sakwa Ward,Dede Dispensary,UqBhl4wPucH,Dede Dispensary,Keipsl13532,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,10.0,
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Duruma,HkslWRBHgWw,Duruma,Keipsl16268,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,5.0,
Kenya,Migori County,Kuria East Sub County,Gokeharaka/getambwega Ward,Getambwega Dispensary,GyjbfltRaHc,Getambwega Dispensary,Keipsl13565,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,4.0,
Kenya,Migori County,Kuria East Sub County,Ntimaru west Ward,Gwitembe Dispensary,K4fzIw47V6n,Gwitembe Dispensary,Keipsl13597,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,64.0,
Kenya,Migori County,Nyatike Sub County,Macalder/kanyarwanda Ward,Kadem Tb & Leprosy Dispensary,LrJMhkHJ5Kj,Kadem Tb & Leprosy Dispensary,Keipsl13640,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,1.0,
Kenya,Migori County,Nyatike Sub County,Kachieng' Ward,Karungu Sub-District Hospital,W725gMy6oWs,Karungu Sub-District Hospital,Keipsl13656,,wx9D2px9nQ7,"TB_PREV (D, DSD, Age/Sex/NewExistingArt/HIVStatus): IPT",TB_PREV_D_DSD_Age_Sex_NewExArt_HIVStatus,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)",,42.0,
