orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,,1,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,fCLmgx815vO,Bellevue Health Centre,10055,,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,,,1
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,fCLmgx815vO,Bellevue Health Centre,10055,,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,,1,1,
Kenya,Nyeri County,Kieni East Sub County,Gakawa Ward,Burguret Dispensary,d86OiRCX1px,Burguret Dispensary,10076,,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,2,1,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100,,wu0ITFRjUzF,MOH 731 Positive_10-14(F) HV01-09,Y22_HV01-09,,,1,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100,,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,1,3,2
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100,,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,,9,2,4
Kenya,Nyeri County,Nyeri Central Sub County,Rware Ward,Diana Medical Clinic,g33R8TblbUU,Diana Medical Clinic,10108,,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,2,,
Kenya,Nyeri County,Kieni West Sub County,Gatarakwa Ward,Embaringo Dispensary,Y61H2WUieo9,Embaringo Dispensary,10166,,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,,,2,
Kenya,Nyeri County,Mathira West Sub County,Ruguru Ward,Emmanuel Community Health Clinic,OvL7GM8rL9p,Emmanuel Community Health Clinic,17574,,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,,,1
