orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,,,,3
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,,,,1
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,MOH 731  Tested_15-19 (M) HV01-04,,3,
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,,,6,2
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,Y18_HV01-07,,1,6,13
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,Y18_HV01-06,,,2,1
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,atSQz5O7e2A,MOH 731 Tested_25+ (F) HV01-09,Y18_HV01-09,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,7,28,77
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,gTkVw97FnQK,MOH 731 Tested_25+ (M) HV01-08,Y18_HV01-08,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,5,5,12
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,,1,,1
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,,,1,
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,MOH 731  Tested_15-19 (M) HV01-04,,3,
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,,,2,
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,Y18_HV01-07,,1,5,3
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,Y18_HV01-06,,,5,3
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,atSQz5O7e2A,MOH 731 Tested_25+ (F) HV01-09,Y18_HV01-09,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,9,34,29
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Amboni Dispensary,ytjxq5xExda,Amboni Dispensary,10027,,gTkVw97FnQK,MOH 731 Tested_25+ (M) HV01-08,Y18_HV01-08,A count of all tests with positive results (P) Note 1: Positive (Female) includes New Positive results for PMTCT in respective age bands,3,27,16
