orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,id,name,code,description,id,name,code,description,id,name,code,description,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,BURHq262iEL,1-4 (Inclusive),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,1,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,BURHq262iEL,1-4 (Inclusive),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,1,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,RV1ZeOr98rI,5-9 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,4,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,RV1ZeOr98rI,5-9 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,2,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,tIZRQs0FK5P,10-14 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,1,,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,QOawCj9oLNS,15-19 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,10,24,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,QOawCj9oLNS,15-19 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,3,3,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,BDPEHrovntA,20-24 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,20,34,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,BDPEHrovntA,20-24 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,6,6,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,K9Cw4402aAh,25-29 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,22,25,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,K9Cw4402aAh,25-29 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,6,6,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,JqZFtdn1sG3,30-34 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,12,28,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,JqZFtdn1sG3,30-34 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,5,9,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,ftAnvKhxRxl,35-39 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,8,21,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,ftAnvKhxRxl,35-39 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,6,8,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,kyKHoWxTzHR,40-44 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,5,14,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,kyKHoWxTzHR,40-44 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,4,9,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,MsbFixtB8mu,45-49 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,7,7,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,MsbFixtB8mu,45-49 (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,7,8,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,bePcXLCq9Ov,50+ (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,11,17,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,bePcXLCq9Ov,50+ (Specific),,,hDBPKTjUPDm,Males,,,awSDzziN3Dn,HIV Positive (Specific),,,1,,
Kenya,Nyeri County,Kieni West Sub County,Mugunda Ward,Bellevue Health Centre,tN11hhvhfMA,Bellevue Health Centre,Keipsl10055,,bePcXLCq9Ov,50+ (Specific),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,10,15,
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,BURHq262iEL,1-4 (Inclusive),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,4,7,5
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,BURHq262iEL,1-4 (Inclusive),,,hDBPKTjUPDm,Males,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,4,5,8
Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),jEjdKQNTXZd,Consolata Mission Hospital (Mathari),Keipsl10100,,RV1ZeOr98rI,5-9 (Specific),,,ZOYVg7Hosni,Females,,,EvyNJHbQ7ZE,HIV Negative (Specific),,,,1,2
