orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Oct to Dec 2021,Jan to Mar 2022,Apr to Jun 2022
Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,Akidiva Clinic,cqfzt89nt1X,Akidiva Clinic,Keipsl13462,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Manga Sub County,Kamera Ward,Amaiga Dispensary (Manga),I0XMM153kdB,Amaiga Dispensary (Manga),Keipsl20684,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Borabu Sub County,Kiabonyoru Ward,Amatierio Dispensary,O2e5aTSFGVQ,Amatierio Dispensary,Keipsl13475,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,2
Kenya,Nyamira County,Borabu Sub County,Esise Ward,Chepngombe Health Centre,d58XqEBxaDp,Chepngombe Health Centre,Keipsl13523,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Migori County,Nyatike Sub County,North kadem Ward,Duruma,HkslWRBHgWw,Duruma,Keipsl16268,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Borabu Sub County,Kiabonyoru Ward,Endiba Health Centre,PmVlDA3sd3f,Endiba Health Centre,Keipsl13544,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Nyamira North Sub County,Bomwagamo Ward,Etono Health Centre,jeYIuGg2DyN,Etono Health Centre,Keipsl13551,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Manga Sub County,Magombo Ward,Gekano Health Centre (Manga),YFp1PyCdq4W,Gekano Health Centre (Manga),Keipsl13557,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Manga Sub County,Manga Ward,Gesure Health Centre (Manga),TTOcTm3TRIv,Gesure Health Centre (Manga),Keipsl13562,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Nyamira Sub County,Bogichora Ward,Gianchore Health Centre,TDSh0LBQeyz,Gianchore Health Centre,Keipsl13572,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Migori County,Kuria East Sub County,Ntimaru west Ward,Gwitembe Dispensary,K4fzIw47V6n,Gwitembe Dispensary,Keipsl13597,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Nyamira County,Nyamira North Sub County,Ekerenyo Ward,Ikonge Dispensary,SuRNiXtqras,Ikonge Dispensary,Keipsl13617,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,,
Kenya,Migori County,Kuria West Sub County,Isibania Ward,Imc Tekeleza Dice - Isebania,EPZl6j7ZwaB,Imc Tekeleza Dice - Isebania,Keipsl20019,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,1,1
Kenya,Migori County,Nyatike Sub County,Kachieng' Ward,Imc Tekeleza Dice Clinic Karungu,RdfRcFkmHjo,Imc Tekeleza Dice Clinic Karungu,Keipsl19929,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",,,1,,1
