orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.AG0milXShQM,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",2,2,2
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",2,2,1
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",,1,
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",1,1,2
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",2,3,4
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",5,5,4
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",1,1,
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",11,12,11
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",3,3,3
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,tb2ANtsOua0,Baragu Health Centre,Keipsl11942,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",21,20,21
