orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,datadescription,Dec,Mar-23,Jun-23
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,SJL4k6Gl53C,MOH 731 On ART_<1 HV03-028,Y18_HV03-028,,,1,1
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,Y18_HV03-029,,3,3,3
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,Y18_HV03-031,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",2,2,2
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,Y18_HV03-030,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",2,2,1
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,Y18_HV03-033,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",,1,
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,Y18_HV03-032,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",1,1,2
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,Y18_HV03-035,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",2,3,4
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,Y18_HV03-037,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",80,78,79
Kenya,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,Baragu Health Centre,wZUrNTrCEWz,Baragu Health Centre,11942,NEAR KATHARAKA STAGE,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,Y18_HV03-036,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",42,43,45
Kenya,Tharaka Nithi County,Tharaka South Sub County,Chiakagira Ward,Chiakariga Health Centre,lwUfSBkSOE0,Chiakariga Health Centre,11969,,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,Y18_HV03-029,,5,5,4
