orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.dRjezxQktoz,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Female, Positive",1,1,
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",1,,
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.AG0milXShQM,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",6,7,7
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",6,6,7
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",7,7,6
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",6,6,4
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",17,16,16
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",1,1,3
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",20,19,16
Kenya,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,Andersen Medical Centre,TddcNdoxqhp,Andersen Medical Centre,Keipsl14203,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",9,8,4
