orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",2,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",1,,
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",1,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",1,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",1,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",6,6,6
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",2,2,2
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.J8fGj3Iefbc,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Female, Positive",2,2,2
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.zUjkTTlva36,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Male, Positive",1,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.zLbjm4E1NsG,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 5-9, Female, Positive",2,2,2
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.ay6Bp2UGIE5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 60-64, Female, Positive",2,2,2
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.lNnwcd2RT4K,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 60-64, Male, Positive",3,3,3
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.YOMb0sp9VLV,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Female, Positive",1,1,1
Kenya,Turkana County,Turkana West Sub County,Songot Ward,Aposta Dispensary,SyduIyTRlRy,Aposta Dispensary,Keipsl14209,,Hyvw9VnZ2ch.Yy619I6uuTP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 65+, Male, Positive",2,2,2
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.dRjezxQktoz,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Female, Positive",3,4,4
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.jjUGfPF0ObP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Male, Positive",5,5,6
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.AG0milXShQM,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",6,6,6
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.tEMe0224zlP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",11,10,11
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.QqlHrg6f0Sm,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",5,7,5
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.LpnJL4zZxRH,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",8,8,6
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",10,22,13
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.NCnIv37EwU1,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",19,11,11
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",111,63,55
Kenya,Turkana County,Turkana West Sub County,Kakuma Ward,IRC Kakuma Hospital,BdEUTRbjYoI,IRC Kakuma Hospital,Keipsl14579,,Hyvw9VnZ2ch.y9LP85d8t4b,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",71,23,13
