orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,Oct to Dec 2022,Jan to Mar 2023,Apr to Jun 2023
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.dRjezxQktoz,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 1-4, Female, Positive",1,,
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.LyXZybq6Sjf,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",1,,
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.zqARzn2wVj5,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",1,3,4
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.Vi8sd7mvZW4,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",14,13,12
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.YDzeLL6xf5o,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",1,1,1
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.hRq4baaUamW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",20,17,21
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.XcW5HWccYYZ,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Male, Positive",3,4,5
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.PEXIFVXGP9S,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Female, Positive",19,21,23
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.zouTxRQ0kXP,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",8,6,5
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.J8fGj3Iefbc,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Female, Positive",19,20,19
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.zUjkTTlva36,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 45-49, Male, Positive",6,7,8
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.VdMgEQkOtuV,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Female, Positive",12,8,9
Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Alphima Medical Clinic,vIEUICFg2ax,Alphima Medical Clinic,Keipsl23646,Hyvw9VnZ2ch.i1yTaswn4qW,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 50-54, Male, Positive",15,11,15
