id,organisationunitid,MOH_FacilityID,uid,mflcode,facility,level,ward,subcounty,county,MOH_IndicatorCode,inndicator,Value,Period,created_at,updated_at
1432,32480,CpuiGl9YqW6,pR7VzBydoj3,14100,Sotik Highlands Dispensary,5,Mekenene Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,17,202110,,
1449,32499,Kp2Kfseofdd,pR7VzBydoj3,13678,Masaba District Hospital,5,Rigoma Ward,Masaba North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,410,202110,,
3922,367591,zrSaMWQz90i,pR7VzBydoj3,18897,LVCT Dice Clinic Migori,5,Suna Central Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,53,202110,,
4293,446228,mQbyKWUNKMs,pR7VzBydoj3,20051,Oasis Doctors Plaza Medical Centre (Migori),5,Ragana-oruba Ward,Suna West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,23,202110,,
4357,1524674,CriwA8mhWOo,pR7VzBydoj3,20134,Kochola Dispensary,5,East Kamagambo Ward,Rongo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,19,202110,,
4470,2378868,B6t2Uc0FqSP,pR7VzBydoj3,20141,Kenyenya Health Centre (Nyamira),5,Bonyamatuta Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,7,202110,,
5301,23304,UXpnlt136Fm,pR7VzBydoj3,13577,Gisage Dispensary,5,Magwagwa Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,4,202110,,
5332,23314,Hl0KZfBiE39,pR7VzBydoj3,16989,Kiang'inda Health Centre,5,Bosamaro Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,13,202110,,
6356,32372,cLo2mMOlSkq,pR7VzBydoj3,13833,Muhuru Sub-County Hospital,5,Muhuru Ward,Nyatike Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,400,202110,,
6398,32431,B8Y8xuk4MFf,pR7VzBydoj3,17052,Ng'ong'a Dispensary,5,South Sakwa Ward,Awendo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,62,202110,,
9196,411227,H8zbf1TS3qy,pR7VzBydoj3,19928,Got Kachola Dispensary,5,Got Kachola Ward,Nyatike Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,66,202110,,
9210,411733,WwYfrsmafhY,pR7VzBydoj3,19930,LVCT DICE Clinic Muhuru,5,Muhuru Ward,Nyatike Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,163,202110,,
10124,23053,wvzZZaYO0Fm,pR7VzBydoj3,13543,Embonga Health Centre,5,Bogichora Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,25,202110,,
11149,32369,dOTpdQwrYeN,pR7VzBydoj3,13805,Migori County Referral Hospital,5,Suna Central Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,1561,202110,,
11226,32463,PKjDudRnOeJ,pR7VzBydoj3,13695,Kineni Dispensary,5,Esise Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,39,202110,,
11286,32467,c3Sw12ouZgJ,pR7VzBydoj3,13794,Matutu Dispensary,5,Nyansiongo Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,3,202110,,
11718,34758,gQOARcEQVeO,pR7VzBydoj3,10700,Mary Immaculate Hospital (Nyeri North),5,Mweiga Ward,Kieni West Sub County,Nyeri County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,97,202110,,
14732,2132286,dwsqnJOgFCH,pR7VzBydoj3,20019,Isbania Prevention Centre,5,Isibania Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,38,202110,,
15244,23311,wVKkAhozU17,pR7VzBydoj3,16280,Kenyerere Health Centre (Nyamira),5,Bonyamatuta Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,33,202110,,
15255,23316,fgKTzsc9pph,pR7VzBydoj3,13756,Magwagwa Health Centre,5,Magwagwa Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,33,202110,,
15304,23324,o8IOlvEXsMe,pR7VzBydoj3,13894,Nyamaiya Health Centre,5,Nyamaiya Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,153,202110,,
16262,32429,leXuCmyYwWX,pR7VzBydoj3,13850,Ngere Health Centre,5,East Kamagambo Ward,Rongo Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,145,202110,,
16279,32458,aqfZGfHVbn2,pR7VzBydoj3,13626,Isoge Health Centre,5,Esise Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,9,202110,,
19515,337050,tAKPrTA5jzk,pR7VzBydoj3,19929,LVCT DICE Clinic Karungu,5,Kachien'g Ward,Nyatike Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,130,202110,,
20275,23307,nQpfownNCBk,pR7VzBydoj3,13614,Igena-Itambe Dispensary,5,Bosamaro Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,12,202110,,
20351,23712,fb6IuqPC7fr,pR7VzBydoj3,13597,Gwitembe Health Centre,5,Ntimaru West Ward,Kuria East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,20,202110,,
21185,32307,OQUMus9IsA1,pR7VzBydoj3,13517,Bugumbe Health Centre,5,Tagare Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,89,202110,,
21237,32313,cdSguOsrorH,pR7VzBydoj3,13619,Iraha Dispensary,5,Nyanmosense/Komosoko Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,10,202110,,
21326,32471,eEVi7Ji3nke,pR7VzBydoj3,13836,Mwongori Dispensary,5,Mekenene Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,28,202110,,
24440,163557,XXfTejSDscY,pR7VzBydoj3,18446,Nyanturago Health Centre (Nyamira),5,Bosamaro Ward,Nyamira Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,10,202110,,
26051,32339,nnQCgclxCj6,pR7VzBydoj3,14144,Taranganya Dispensary,5,Bukira East Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,11,202110,,
26071,32340,LFBf0WwBzaX,pR7VzBydoj3,14149,Tisinye Health Centre,5,Gokeharaka/Getambwega Ward,Kuria East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,29,202110,,
26278,32473,sAf3Y4aI3zy,pR7VzBydoj3,13922,Nyandoche Ibere Dispensary,5,Nyansiongo Ward,Borabu Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,8,202110,,
29119,54393,UlOy160zonh,pR7VzBydoj3,17342,Midida Dispensary,5,West Kanyamkago Ward,Uriri Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,90,202110,,
30288,23303,RsiWBZOvwow,pR7VzBydoj3,13574,Gietai (AIC) Dispensary,5,Itibo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,29,202110,,
30339,23308,kTrvZAjAcnU,pR7VzBydoj3,13617,Ikonge Dispensary,5,Ekerenyo Ward,Nyamira North Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,39,202110,,
30730,31662,iYpP2OYAWcL,pR7VzBydoj3,13905,Nyambaria Geke Dispensary,5,Magombo Ward,Manga Sub County,Nyamira County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,13,202110,,
30990,32329,EZfZFVztjgt,pR7VzBydoj3,13851,Ngisiru Dispensary,5,Tagare Ward,Kuria West Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,1,202110,,
31122,32351,G44EhGVs2FX,pR7VzBydoj3,13582,God Jope Dispensary,5,God Jope Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,104,202110,,
31182,32368,q3Hiw70svzH,pR7VzBydoj3,13804,Midoti Dispensary,5,Suna Central Ward,Suna East Sub County,Migori County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,99,202110,,
