facility,ward,subcounty,county,MOH_UID,MOH_Indicator_ID,MOH_Indicator_Name,khis_data
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,7
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,2
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,22
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,8
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,9
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,5
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,150
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,15
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,a0qvQ3FrCD8,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,373
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,6
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,4
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,38
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,7
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,1
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,371
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,12
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,a0XwYzX3wfw,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,892
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,46
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,42
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,48
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,25
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,25
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,46
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,654
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,SJL4k6Gl53C,MOH 731 On ART_<1 HV03-028,2
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,30
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,A19e0CHhTj3,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,1567
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,A1BCmizFgwx,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,2
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,A1BCmizFgwx,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,A1BCmizFgwx,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,18
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,A1BCmizFgwx,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,2
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,A1BCmizFgwx,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,50
GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,a1BP3LxCq16,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,1
GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,a1BP3LxCq16,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,43
GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,a1BP3LxCq16,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,4
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,16
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,10
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,47
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,a1KIkjd2PRa,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,7
