"id","organisationunitid","MOH_FacilityID","uid","mflcode","facility","level","ward","subcounty","county","MOH_IndicatorCode","inndicator","Value","Period","created_at","updated_at"
1,"22621",e0eHfNQ5SwY,oOOnacUi9Jm,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,"1","202205",,
2,"22621",e0eHfNQ5SwY,yNCUlEYkmyA,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"57","202202",,
3,"22621",e0eHfNQ5SwY,Jbu4if6gtDp,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"1","202207",,
4,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"16","202208",,
5,"22621",e0eHfNQ5SwY,yNCUlEYkmyA,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"58","202111",,
6,"22621",e0eHfNQ5SwY,EhZQp3PTA3C,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"2","202204",,
7,"22621",e0eHfNQ5SwY,AQsTt7jtKbt,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"4","202202",,
8,"22621",e0eHfNQ5SwY,wbJOu4h2SSz,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"1","202203",,
9,"22621",e0eHfNQ5SwY,wbJOu4h2SSz,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"1","202112",,
10,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"16","202205",,
11,"22621",e0eHfNQ5SwY,yNCUlEYkmyA,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"59","202205",,
12,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"17","202203",,
13,"22621",e0eHfNQ5SwY,Jbu4if6gtDp,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"1","202111",,
14,"22621",e0eHfNQ5SwY,EhZQp3PTA3C,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"3","202201",,
15,"22621",e0eHfNQ5SwY,EhZQp3PTA3C,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"1","202207",,
16,"22621",e0eHfNQ5SwY,wbJOu4h2SSz,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"1","202205",,
17,"22621",e0eHfNQ5SwY,e93GKJTHKAX,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"1","202208",,
18,"22621",e0eHfNQ5SwY,wbJOu4h2SSz,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"1","202208",,
19,"22621",e0eHfNQ5SwY,AQsTt7jtKbt,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"4","202111",,
20,"22621",e0eHfNQ5SwY,yNCUlEYkmyA,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,"60","202204",,
21,"22621",e0eHfNQ5SwY,Jbu4if6gtDp,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,"1","202205",,
22,"22621",e0eHfNQ5SwY,AQsTt7jtKbt,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,"4","202208",,
23,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"16","202206",,
24,"22621",e0eHfNQ5SwY,wbJOu4h2SSz,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,"1","202111",,
25,"22621",e0eHfNQ5SwY,EhZQp3PTA3C,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,"1","202206",,
26,"22621",e0eHfNQ5SwY,pR7VzBydoj3,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,"17","202202",,
27,"22621",e0eHfNQ5SwY,e93GKJTHKAX,"12144",Kalama Dispensary,"5",Kalama Ward,Kalama Sub County,Machakos County,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,"1","202206",,
