facility,ward,subcounty,county,Datim_Facility_UID,DATIM_Disag_ID,DATIM_Disag_Name,datim_data,,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5, Yf1BiWq71NE,15+ | Female,7,6.03277E-06,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,XX7hDj6iz0D,15+ | Male,2,1.72365E-06,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,Yf1BiWq71NE,15+ | Female,23,1.98219E-05,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,chrwpNxHlQQ,<15 | Female,8,6.89459E-06,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,zHSL7ATXJib,<15 | Male,9,7.75641E-06,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,XX7hDj6iz0D,15+ | Male,5,4.30912E-06,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,XX7hDj6iz0D,15+ | Male,150,0.000129274,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5, uURluLqPIJ5,<15 | Unknown Sex,15,1.29274E-05,,,,
Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5,Yf1BiWq71NE,15+ | Female,372,0.000320598,,,, 
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,Yf1BiWq71NE,15+ | Female,6,5.17094E-06,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,XX7hDj6iz0D,15+ | Male,4,3.4473E-06,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,Yf1BiWq71NE,15+ | Female,38,3.27493E-05,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,chrwpNxHlQQ,<15 | Female,7,6.03277E-06,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,zHSL7ATXJib,<15 | Male,3,2.58547E-06,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,XX7hDj6iz0D,15+ | Male,1,8.61824E-07,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,XX7hDj6iz0D,15+ | Male,371,0.000319737,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,uURluLqPIJ5,<15 | Unknown Sex,12,1.03419E-05,,,,
Westlands Health Centre,Parklands/Highridge Ward,Westlands Sub County,Nairobi County,yeRTeLsxMZG,Yf1BiWq71NE,15+ | Female,892,0.000768747,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,Yf1BiWq71NE,15+ | Female,46,3.96439E-05,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,XX7hDj6iz0D,15+ | Male,42,3.61966E-05,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,Yf1BiWq71NE,15+ | Female,48,4.13675E-05,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,chrwpNxHlQQ,<15 | Female,25,2.15456E-05,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,zHSL7ATXJib,<15 | Male,25,2.15456E-05,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,XX7hDj6iz0D,15+ | Male,46,3.96439E-05,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,XX7hDj6iz0D,15+ | Male,654,0.000563633,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,uURluLqPIJ5,<15 | Unknown Sex,2,1.72365E-06,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,uURluLqPIJ5,<15 | Unknown Sex,30,2.58547E-05,,,,
Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,Yf1BiWq71NE,15+ | Female,1567,0.001350478,,,,
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,Yf1BiWq71NE,15+ | Female,2,1.72365E-06,,,,
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,zHSL7ATXJib,<15 | Male,3,2.58547E-06,,,,
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,XX7hDj6iz0D,15+ | Male,16,1.37892E-05,,,,
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,uURluLqPIJ5,<15 | Unknown Sex,2,1.72365E-06,,,,
Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,Yf1BiWq71NE,15+ | Female,52,4.48148E-05,,,,
GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,Bexsf6i5wVY,Yf1BiWq71NE,15+ | Female,1,8.61824E-07,,,,
GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,Bexsf6i5wVY,XX7hDj6iz0D,15+ | Male,38,3.27493E-05,,,,
GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,Bexsf6i5wVY,Yf1BiWq71NE,15+ | Female,3,2.58547E-06,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,Yf1BiWq71NE,15+ | Female,16,1.37892E-05,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,XX7hDj6iz0D,15+ | Male,10,8.61824E-06,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,Yf1BiWq71NE,15+ | Female,47,4.05057E-05,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,chrwpNxHlQQ,<15 | Female,7,6.03277E-06,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,zHSL7ATXJib,<15 | Male,9,7.75641E-06,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,XX7hDj6iz0D,15+ | Male,12,1.03419E-05,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,XX7hDj6iz0D,15+ | Male,152,0.000130997,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,uURluLqPIJ5,<15 | Unknown Sex,1,8.61824E-07,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,uURluLqPIJ5,<15 | Unknown Sex,13,1.12037E-05,,,,
Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,Yf1BiWq71NE,15+ | Female,441,0.000380064,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,Yf1BiWq71NE,15+ | Female,19,1.63747E-05,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,XX7hDj6iz0D,15+ | Male,17,1.4651E-05,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,Yf1BiWq71NE,15+ | Female,33,2.84402E-05,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,chrwpNxHlQQ,<15 | Female,26,2.24074E-05,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,zHSL7ATXJib,<15 | Male,12,1.03419E-05,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,XX7hDj6iz0D,15+ | Male,18,1.55128E-05,,,,
Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,XX7hDj6iz0D,15+ | Male,412,0.000355071,,,,
