organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Total
HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,4,,,,,1,,,1,6
E0sp9SbtPJo,Adiedo Dispensary,13463,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,,4,1,,1,7
cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,4,5,,,2,11
fUh3CKfP6Ee,Afraha Maternity and Nursing Home,18382,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,2,,,,,,,,,,2
A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,,,,,,,1
iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,7,5,4,21,13,,8,,,,,59
TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5,,,,,,3,2,,,,2,12
QMzWtI2lOvC,Aina Dispensary,20030,Dispensary,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,10,2,12
oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,6,8,3,8,10,,5,40
KuftRocWEh1,Ajam Mission Health Centre,18398,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,2,4,6,6,8,,,,26
les3bNZfpjr,Akichelesit Dispensary,15792,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,4,,,,,,4
wEptqs31IZ2,Alphima Medical Clinic,23646,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,,,,,,,,,,,1
