organisationunitid,orgunitlevel1_pos,orgunitlevel2_pos,orgunitlevel3_pos,orgunitlevel4_pos,orgunitlevel5_pos,organisationunitname_pos,organisationunitcode_pos,organisationunitdescription_pos,dataid_pos,dataname_pos,datacode_pos,Total_pos,difference
SlmxDUIybki,Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,Abidha Health Centre,13461,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,168.0
tpmeDcmWQWf,Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,Aboloi Dispensary,15789,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,116.0
VsK11IQUWdd,Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,Acef Ena Health Centre,12791,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,107.0
Fg18SYNETmu,Kenya,Isiolo County,Isiolo Sub County,Burat Ward,ACK Dispensary (Isiolo),ACK Dispensary (Isiolo),11918,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,10.0
E0sp9SbtPJo,Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,Adiedo Dispensary,13463,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,117.0
cQB8Va1pD81,Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),Administration Police Dispensary (Kisumu),13464,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,86.0
pkKPZUYXl5l,Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,Adu Dispensary,11198,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,273.0
hmIgXXyNHOj,Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),Aga Khan Hospital (Kisumu),13465,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,141.0
ckvRzmsUore,Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),Aga Khan Hospital (Mombasa),11203,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,310.0
A1BCmizFgwx,Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),Ageng'a Dispensary (Samia),15790,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,178.0
orKDpItM56v,Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,Agenga Dispensary,13467,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,80.0
iPKeTl8lSAZ,Kenya,Kisumu County,Nyando Sub County,Ahero Ward,Ahero County Hospital,Ahero County Hospital,13468,County hospital,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,24.0,1146.0
TYKsuf1A6HB,Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Ahero Medical Centre,Ahero Medical Centre,18291,Medical clinic,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,91.0
Hz0YZaxawTo,Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Ahmadiya Hospital,Ahmadiya Hospital,15791,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,421.0
W5tfdo7JoJL,Kenya,Isiolo County,Isiolo Sub County,Wabera Ward,AIC Dispensary (Isiolo),AIC Dispensary (Isiolo),12093,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,57.0
AawtXdUefwb,Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AIC Litein Mission Hospital,14178,mission hospital,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,727.0
QMzWtI2lOvC,Kenya,Meru County,Tigania West Sub County,Nkomo Ward,Aina Dispensary,Aina Dispensary,20030,Dispensary,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,18.0
yvHLTdpzuNc,Kenya,Uasin Gishu County,Ainabkoi Sub County,Ainabkoi/Olare Ward,Ainabkoi (RCEA) Health Centre,Ainabkoi (RCEA) Health Centre,16350,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,61.0
Q4h7yLoLe0G,Kenya,Kericho County,Ainamoi Sub County,Ainamoi Ward,Ainamoi Health Centre,Ainamoi Health Centre,14192,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,657.0
oEWhqoUHkvt,Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,Airport Health Centre (Kisumu),Airport Health Centre (Kisumu),13469,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,17.0,478.0
PBqYe1aI7YB,Kenya,Meru County,Igembe South Sub County,Kanuni Ward,Akachiu Health Centre,Akachiu Health Centre,11923,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,320.0
ngzYEraCr33,Kenya,Siaya County,Gem Sub County,South Gem Ward,Akala Health Centre,Akala Health Centre,13471,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,12.0,583.0
WLP80sZXutW,Kenya,Narok County,Transmara West Sub County,Kilgoris Central Ward,Akemo Nursing Home,Akemo Nursing Home,14194,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,33.0
les3bNZfpjr,Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Akichelesit Dispensary,Akichelesit Dispensary,15792,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,193.0
GLeVzenn2ab,Kenya,Busia County,Teso South Sub County,Amukura West Ward,Akiriamasi Dispensary,Akiriamasi Dispensary,21034,Situated off road from AMUKURA MACHAKUS junction 5 KMs to west next to Akiriamasit primary school,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,133.0
asspSN9u7oh,Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Akolong Dispensary,Akolong Dispensary,26001,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,108.0
SkWeQkXKTzL,Kenya,West Pokot County,Pokot North Sub County,Alale Ward,Alale (AIC) Health Centre,Alale (AIC) Health Centre,14196,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,111.0
