orgunitlevel1_pos,orgunitlevel2_pos,orgunitlevel3_pos,orgunitlevel4_pos,orgunitlevel5_pos,organisationunitid,organisationunitname_pos,organisationunitcode_pos,dataid_pos,dataname_pos,datacode_pos,Total_pos,orgunitlevel1_tst,orgunitlevel2_tst,orgunitlevel3_tst,orgunitlevel4_tst,orgunitlevel5_tst,organisationunitname_tst,organisationunitcode_tst,organisationunitdescription,dataid_tst,dataname_tst,datacode_tst,Total_tst,difference
Kenya,Kwale County,Lunga Lunga Sub County,Pongwe/Kikokeni Ward,Bwiti Dispensary,A0Ln8q092qB,Bwiti Dispensary,17894,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,4,Kenya,Kwale County,Lunga Lunga Sub County,Pongwe/Kikokeni Ward,Bwiti Dispensary,Bwiti Dispensary,17894,Dispensary,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-3
Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,A19e0CHhTj3,Murang'a County Referal Hospital,10777,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,74,Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,Murang'a County Referal Hospital,10777,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,27,-47
Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,A19e0CHhTj3,Murang'a County Referal Hospital,10777,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,74,Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,Murang'a County Referal Hospital,10777,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,26,-48
Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,A19e0CHhTj3,Murang'a County Referal Hospital,10777,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,42,Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,Murang'a County Referal Hospital,10777,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,27,-15
Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,A19e0CHhTj3,Murang'a County Referal Hospital,10777,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,42,Kenya,Muranga County,Kiharu Sub County,Township Ward,Murang'a County Referal Hospital,Murang'a County Referal Hospital,10777,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,26,-16
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3,Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),Ageng'a Dispensary (Samia),15790,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-2
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5,Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),Ageng'a Dispensary (Samia),15790,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-4
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5,Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),Ageng'a Dispensary (Samia),15790,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,4,-1
Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,A1LHwsmDMUX,Njiru (EDARP) Clinic,17548,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,8,Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,Njiru (EDARP) Clinic,17548,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-5
Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,A1LHwsmDMUX,Njiru (EDARP) Clinic,17548,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,28,Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Njiru (EDARP) Clinic,Njiru (EDARP) Clinic,17548,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,11,-17
