orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,datacode,Total
Kenya,Kirinyaga County,Kirinyaga Central Sub County,Kerugoya Ward,GK Prison Dispensary (Kerugoya),aLtQReV8YLe,GK Prison Dispensary (Kerugoya),21503,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nairobi County,Kasarani Sub County,Clay City Ward,Radiant Group Of Hospitals Kasarani Sportsview,X2ibxFpkIcT,Radiant Group Of Hospitals Kasarani Sportsview,24488,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,7
Kenya,Nairobi County,Kasarani Sub County,Clay City Ward,Radiant Group Of Hospitals Kasarani Sportsview,X2ibxFpkIcT,Radiant Group Of Hospitals Kasarani Sportsview,24488,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nakuru County,Nakuru East Sub County,Menengai Ward,3KR Health Centre,CgMmkS9jWI6,3KR Health Centre,14181,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1
Kenya,Nakuru County,Nakuru East Sub County,Menengai Ward,3KR Health Centre,CgMmkS9jWI6,3KR Health Centre,14181,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nairobi County,Langata Sub County,Mugumo-ini Ward,7KR Mrs Health Centre,kMvyfZaFoq8,7KR Mrs Health Centre,13043,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,A.C.K Butonge Dispensary,lNOoLAelIzT,A.C.K Butonge Dispensary,15837,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,1
Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,A.C.K Butonge Dispensary,lNOoLAelIzT,A.C.K Butonge Dispensary,15837,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2
Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,A.C.K Butonge Dispensary,lNOoLAelIzT,A.C.K Butonge Dispensary,15837,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AAR Clinic Sarit Centre (Westlands),l0jxFYujGaJ,AAR Clinic Sarit Centre (Westlands),16796,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1
