orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Total
Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,Nakuru West( A.I.P.C.A) Medical Centre,ZLWW4U0YIOu,Nakuru West( A.I.P.C.A) Medical Centre,22751,Githima Kaptembwa,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,1
Kenya,Muranga County,Kigumo Sub County,Kangari Ward,Aberdare Medical Centre Ltd,NQPKyCdIa8Z,Aberdare Medical Centre Ltd,21416,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,1
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,34
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,4
Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,Aboloi Dispensary,tpmeDcmWQWf,Aboloi Dispensary,15789,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,1
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,2
Kenya,Embu County,Runyenjes Sub County,Kagaari South Ward,Acef Ena Health Centre,VsK11IQUWdd,Acef Ena Health Centre,12791,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,3
Kenya,Isiolo County,Isiolo Sub County,Burat Ward,ACK Dispensary (Isiolo),Fg18SYNETmu,ACK Dispensary (Isiolo),11918,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,2
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adc Danisa Dispensary,rdvu0VThvPb,Adc Danisa Dispensary,11196,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,1
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,14
Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,Adiedo Dispensary,E0sp9SbtPJo,Adiedo Dispensary,13463,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,6
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,16
Kenya,Kisumu County,Kisumu Central Sub County,Railways Ward,Administration Police Dispensary (Kisumu),cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,3
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,6
Kenya,Kilifi County,Magarini Sub County,Adu Ward,Adu Dispensary,pkKPZUYXl5l,Adu Dispensary,11198,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,2
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,22
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,Aga Khan Hospital (Kisumu),hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,1
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,1
Kenya,Mombasa County,Mvita Sub County,Shimanzi/Ganjoni Ward,Aga Khan Hospital (Mombasa),ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,1
Kenya,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,Agawo Dispensary,qIuHbZDmYPX,Agawo Dispensary,13466,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,5
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,6
Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,Ageng'a Dispensary (Samia),A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,5
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,40
Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Agenga Dispensary,orKDpItM56v,Agenga Dispensary,13467,,WNFWVHMqPv9,MOH 731 Start HAART_ANC HV02-17,Y18_HV02-17,4
Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,Aguthi Dispensary,mXzuqduA6ed,Aguthi Dispensary,10017,,lJpaBye9B0H,MOH 731 On HAART at 1st ANC HV02-16,Y18_HV02-16,1
