orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Total
Kenya,Embu County,Manyatta Sub County,Ruguru-ngandori Ward,CDF Kiriari Dispensary,dzAkq7dh6SG,CDF Kiriari Dispensary,19224,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,5
Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,Nakuru West( A.I.P.C.A) Medical Centre,ZLWW4U0YIOu,Nakuru West( A.I.P.C.A) Medical Centre,22751,Githima Kaptembwa,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,11
Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,Nakuru West( A.I.P.C.A) Medical Centre,ZLWW4U0YIOu,Nakuru West( A.I.P.C.A) Medical Centre,22751,Githima Kaptembwa,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,1
Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,Nakuru West( A.I.P.C.A) Medical Centre,ZLWW4U0YIOu,Nakuru West( A.I.P.C.A) Medical Centre,22751,Githima Kaptembwa,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,1
Kenya,Nakuru County,Nakuru East Sub County,Menengai Ward,3KR Health Centre,CgMmkS9jWI6,3KR Health Centre,14181,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,32
Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,A.C.K Butonge Dispensary,lNOoLAelIzT,A.C.K Butonge Dispensary,15837,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,50
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AAR Clinic Sarit Centre (Westlands),l0jxFYujGaJ,AAR Clinic Sarit Centre (Westlands),16796,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,229
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,AAR Gwh Health Care Ltd,qvdl9OTOMxX,AAR Gwh Health Care Ltd,19958,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,325
Kenya,Kiambu County,Kiambaa Sub County,Ndenderu Ward,AAR Health Care Ruaka,Xc7S1GryRxE,AAR Health Care Ruaka,21981,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,91
Kenya,Kajiado County,Kajiado North Sub County,Ongata Rongai Ward,AAR Healthcare Rongai,qe5vUS7sikW,AAR Healthcare Rongai,28751,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,9
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,AAR Healthcare Services Syokimau Outpatient Centre,DyPPciUocVr,AAR Healthcare Services Syokimau Outpatient Centre,25948,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,65
Kenya,Nakuru County,Nakuru West Sub County,London Ward,AAR Nakuru Clinic,CSpKc4vZzgD,AAR Nakuru Clinic,14183,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,32
Kenya,Nakuru County,Nakuru West Sub County,London Ward,AAR Nakuru Clinic,CSpKc4vZzgD,AAR Nakuru Clinic,14183,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,1
Kenya,Kajiado County,Kajiado North Sub County,Ngong Ward,AAR Ngong Clinic,QJzFd0WT6oE,AAR Ngong Clinic,21862,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,25
Kenya,Garissa County,Dadaab Sub County,Abakaile Ward,Abakaile Dispensary,QITW06phVzk,Abakaile Dispensary,18821,dispensary,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,16
Kenya,Wajir County,Wajir South Sub County,Habasswein Ward,Abakore Sub District Hospital,sEGi1wY7bRB,Abakore Sub District Hospital,13265,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,29
Kenya,Garissa County,Balambala Sub County,Sankuri Ward,Abdisamad Dispensary,bfiWYfkcaxW,Abdisamad Dispensary,17009,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,59
Kenya,Muranga County,Kigumo Sub County,Kangari Ward,Aberdare Medical Centre Ltd,NQPKyCdIa8Z,Aberdare Medical Centre Ltd,21416,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,22
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,ETX9cUWF43c,MOH 731 Initial test at ANC HV02-04,Y18_HV02-04,172
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,oZc8MNc0nLZ,MOH 731 Known Positive at 1st ANC HV02-10,Y18_HV02-10,34
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,qSgLzXh46n9,MOH 731 Known Positive at 1st ANC HV02-03,Y18_HV02-03,34
