organisationunitid,organisationunitname,organisationunitcode,dataid,dataname,datacode,Total
HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
E0sp9SbtPJo,Adiedo Dispensary,13463,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7
cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11
fUh3CKfP6Ee,Afraha Maternity and Nursing Home,18382,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2
A1BCmizFgwx,Ageng'a Dispensary (Samia),15790,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
iPKeTl8lSAZ,Ahero County Hospital,13468,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,59
TYKsuf1A6HB,Ahero Medical Centre,18291,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
QMzWtI2lOvC,Aina Dispensary,20030,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,40
KuftRocWEh1,Ajam Mission Health Centre,18398,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,26
les3bNZfpjr,Akichelesit Dispensary,15792,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4
wEptqs31IZ2,Alphima Medical Clinic,23646,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
p88Dp0k1GH3,Alum Beach Dispensary,13472,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12
p7wCM1JfI5d,Aluor Mission Health Centre,13473,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17
wmUX4Xf6mHU,Alupe Sub County Referral Hospital,15795,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,32
cjPwf2Grgo9,Alwalidayn Dispensary,22059,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,211
cPDS7MOxcm9,Amaase Dispensary,15797,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1
LGPVNsrp6og,Amani Medical Clinic (Kilifi),11217,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6
QRZj3gcahYE,Ambira Sub-County Hospital,13476,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,58
