orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Total
Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,A.C.K Butonge Dispensary,lNOoLAelIzT,A.C.K Butonge Dispensary,15837,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,1
Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,A.C.K Butonge Dispensary,lNOoLAelIzT,A.C.K Butonge Dispensary,15837,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,1
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AAR Clinic Sarit Centre (Westlands),l0jxFYujGaJ,AAR Clinic Sarit Centre (Westlands),16796,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,3
Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,AAR Clinic Sarit Centre (Westlands),l0jxFYujGaJ,AAR Clinic Sarit Centre (Westlands),16796,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,2
Kenya,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,AAR Health care-Kisumu,VeDu9Olup41,AAR Health care-Kisumu,20956,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,1
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,mACm1JUzeLT,MOH 731 Start ART_<1 HV03-016,Y18_HV03-016,1
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,Hbc2qRi0U5x,MOH 731 Start ART_1-9 HV03-017,Y18_HV03-017,1
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,DaNcGZnkclz,MOH 731 Start ART_15-19 (F) HV03-021,Y18_HV03-021,2
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,20
Kenya,Siaya County,Rarieda Sub County,East Asembo Ward,Abidha Health Centre,SlmxDUIybki,Abidha Health Centre,13461,,SCMKsiNj6c5,MOH 731 Start ART_25+(M) HV03-024,Y18_HV03-024,6
Kenya,Kisumu County,Nyando Sub County,Kobura Ward,Absalom Wangulu Dispensary,NS2k3fejJUx,Absalom Wangulu Dispensary,20524,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,1
Kenya,Kisumu County,Nyando Sub County,Kobura Ward,Absalom Wangulu Dispensary,NS2k3fejJUx,Absalom Wangulu Dispensary,20524,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,1
Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Ace Africa (k) Wellness Centre,HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,,zNCSlBKbS6d,MOH 731 Start ART_20-24 (F) HV03-023,Y18_HV03-023,2
Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Ace Africa (k) Wellness Centre,HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,,K59f8nZ5vhy,MOH 731 Start ART_20-24(M) HV03-022,Y18_HV03-022,1
Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Ace Africa (k) Wellness Centre,HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,,Nv4OkbdDvmm,MOH 731 Start ART_25+ (F) HV03-025,Y18_HV03-025,10
