uid,mflcode,facility,level,ward,subcounty,county
pSZ80FKalXh,28652,Lifecare Hospital (Kikuyu),5,Kikuyu Ward,Kikuyu Sub County,Kiambu County
lHUzUoCNdCr,23933,Ndonyo Health Care-Gilgil,5,Gilgil Ward,Gilgil Sub County,Nakuru County
SezKPZmA70j,15489,North-Lake Rocco Medical Centre,5,Malewa West Ward,Gilgil Sub County,Nakuru County
KUg15TTZIae,26174,Kokuro Dispensary,5,Central Sakwa Ward,Awendo Sub County,Migori County
cG7JFxV67nW,29431,Presbyterian Care Centre(PCEA),5,Mbaruk/Eburu Ward,Gilgil Sub County,Nakuru County
NfGKkkWx2Nz,29432,Elephant Dental clinic,5,Shimanzi/Ganjoni Ward,Mvita Sub County,Mombasa County
dx6XwBdUB2q,14510,Gilgil Sub County Hospital,5,Gilgil Ward,Gilgil Sub County,Nakuru County
gbQw8OQtjpj,11507,Kwale Sub County Hospital,5,Tsimba Golini Ward,Matuga Sub County,Kwale County
ggV1dWPf7WX,29245,Green Acres Medical Centre,5,Kikuyu Ward,Kikuyu Sub County,Kiambu County
JGfNtAdS9Pk,26174-other,Kokuro Dispensary,5,Central Sakwa Ward,Bondo Sub County,Siaya County
kCGkSBR7MaN,29442,Mama Wakesho Medical Clinic Limited,5,Syokimau/Mulolongo Ward,Athi River Sub County,Machakos County
hOau8qvbwLs,17643,Kititu Dispensary,5,Kola Ward,Kalama Sub County,Machakos County
dtWdw8ogYzJ,12366,Kitui County Referral Hospital,5,Township Ward,Kitui Central Sub County,Kitui County
gnjJE1nz086,12372,Kitungati Dispensary,5,Mbitini Ward,Kitui Rural Sub County,Kitui County
rLKHE6dzQRh,12363,Kithyoko Mercy Medical Clinic,5,Kivaa Ward,Masinga Sub County,Machakos County
KwrMyOUvBw7,12364,Kithyululu Health Centre,5,Masongaleni Ward,Kibwezi East Sub County,Makueni County
dbXP2qaS0SZ,16959,Kithuni Dispensary,5,Kee Ward,Kaiti Sub County,Makueni County
N41afdCPLMb,29443,Katani Divine Medical Centre,5,Muthwani Ward,Athi River Sub County,Machakos County
vi6oQPmP2BI,29444,Tranquil Hospital Limited,5,Kisa Central Ward,Khwisero Sub County,Kakamega County
RFBzZX4hBPY,29447,Mischare Medical Clinic,5,Marama West Ward,Butere Sub County,Kakamega County
ymdORoEWOmP,28708,Biotisho health clinic narok,5,Narok Town Ward,Narok North Sub County,Narok County
lWqaEXeMnmT,29372,Mountain View Medical Centre,5,Thegu River Ward,Kieni East Sub County,Nyeri County
LO4Cg3D7grS,29102,Golden Rule Medical Clinic,5,Naromoru/Kiamathaga Ward,Kieni East Sub County,Nyeri County
WxYQkohGT7r,17323,Mogor Dispensary,5,Mogondo Ward,Transmara East Sub County,Narok County
l0VBmNzYUnH,22708,Umoja Dispensary,5,Wamumu Ward,Kirinyaga North/Mwea West Sub County,Kirinyaga County
ue8SGKUaKWZ,13433,Sankuri Health Centre,5,Sankuri Ward,Balambala Sub County,Garissa County
AoegaUZ3qLq,12373,Kituruni Dispensary,5,Karare Ward,Saku Sub County,Marsabit County
yJxRzQMSaxG,29448,Dr Bens Stanford Medical center,5,Shella Ward,Malindi Sub County,Kilifi County
y36f2ZPPyjg,29351,Gatiko Dispensary,5,Kirimukuyu Ward,Mathira West Sub County,Nyeri County
FlnksrpFWa4,29453,Nakuru Child And Family Medical Clinic,5,Biashara Ward,Nakuru East Sub County,Nakuru County
mCt07h170Nt,29445,The Hamptons Hospital,5,Marama West Ward,Butere Sub County,Kakamega County
Td7yzOwWZ4h,29449,Dr Bens Stanford Medical center,5,Shella Ward,Malindi Sub County,Kilifi County
hPCDkK06PhP,106666,Magutu (PCEA) Dispensary,5,Magutu Ward,Mathira East Sub County,Nyeri County
lDKXWFaCEa1,18799,Ifo 2 Hospital,5,Dadaab Ward,Dadaab Sub County,Garissa County
kYrlyuXj900,29446,Mischare Medical Clinic,5,Marama West Ward,Butere Sub County,Kakamega County
Z50lIFV7vEi,29450,Dr Bens Stanford Medical center,5,Shella Ward,Malindi Sub County,Kilifi County
CF3qviwbhvV,29465,Mariakani Damview Clinic,5,Mariakani Ward,Kaloleni Sub County,Kilifi County
QBERm0II792,29454,Nakuru Child And Family Medical Clinic,5,Biashara Ward,Nakuru East Sub County,Nakuru County
zxvMzzAZRfe,29455,Machakos Youth DICE,5,Mumbuni North Ward,Machakos Sub County,Machakos County
nvyPjbt0RXX,29456,Nakuru Child And Family Medical Clinic,5,Biashara Ward,Nakuru East Sub County,Nakuru County
WolzSkuqBcd,29457,Haab Medical centre,5,Wargudud Ward,Mandera South Sub County,Mandera County
IltcatP6BIa,29458,Bumburi Dispensary,5,Mackinon Road Ward,Kinango Sub County,Kwale County
TlMgSuTyJEn,29459,Tabasam Medical Clinic,5,Miritini Ward,Jomvu Sub County,Mombasa County
RX1z7OSrnms,29460,Gilclin Medical Centre,5,Gilgil Ward,Gilgil Sub County,Nakuru County
AFp9N2OywUt,29461,Manifest Health Care Centre,5,Kamenu Ward,Thika Town Sub County,Kiambu County
I19Hc61WOcM,29464,Shaafici Nursing Home,5,Neboi Ward,Mandera East Sub County,Mandera County
L9istolw5sq,24669,Apex specialist and diagnostic centre,5,Township Ward,Thika Town Sub County,Kiambu County
xZYXwcjlsQb,29466,Kangamojoj Dispensary,5,Kaeris Ward,Turkana North Sub County,Turkana County
w0QBLXNdhK1,10641,Kiumbu Health Centre,5,Tebere Ward,Kirinyaga South Sub County,Kirinyaga County
XKJGW02ZREr,29468,Equity Afia Medical Centre-UpperHill,5,Woodley/Kenyatta Golf Course Ward,Kibra Sub County,Nairobi County
q1wsMI02Nck,29470,Libra Dental Centre Limited,5,Parklands/Highridge Ward,Westlands Sub County,Nairobi County
BzOMEFJ2t9Z,29451,Dr Bens Stanford Medical center,5,Shella Ward,Malindi Sub County,Kilifi County
WJwX7ubdfGu,10669,Gaikuyu Dispensary,5,Magutu Ward,Mathira East Sub County,Nyeri County
zjJzSV10XnR,17742,Kiti Dispensary,5,Menengai Ward,Nakuru East Sub County,Nakuru County
WLP80sZXutW,14194,Akemo Nursing Home,5,Kilgoris Central Ward,Transmara West Sub County,Narok County
ZzKERhDC3FD,29471,Yapha Dispensary,5,Kinango Ward,Kinango Sub County,Kwale County
f9dMSZ0OK4N,29109,Matharite Afya Bora Clinic,5,Makuyu Ward,Muranga South Sub County,Muranga County
PpRjAUiFm0j,29475,Asuli Medical Clinic,5,Mkomani Ward,Nyali Sub County,Mombasa County
JSi1GipSXzM,15476,Racecourse Clinic,5,Flamingo Ward,Nakuru East Sub County,Nakuru County
nl2kqo2gbGi,19592,New Canaan Idp Dispensary,5,Nakuru East Ward,Nakuru East Sub County,Nakuru County
jep8ixiYEw0,18266,Mediheal Hospital (Nakuru),5,Menengai Ward,Nakuru East Sub County,Nakuru County
YKNNA3yP0ja,15286,Nakuru Clinical Unit,5,Biashara Ward,Nakuru East Sub County,Nakuru County
yI8aDq8GEq5,28142,ISEGERETOTO,5,Malaba Central Ward,Teso North Sub County,Busia County
sZNadfmGApR,14545,Hekima Dispensary,5,Kivumbuni Ward,Nakuru East Sub County,Nakuru County
yqYojLxUbvm,29477,Watta Medical Clinic,5,Rusinga Island Ward,Mbita Sub County,Homa Bay County
eprOiqS7R4C,29478,Equity Afya Medical Centre Machakos,5,Machakos Central Ward,Machakos Sub County,Machakos County
bgKnwQiqPoQ,29482,Keswa Dropin Centre,5,Ongata Rongai Ward,Kajiado North Sub County,Kajiado County
dHTrRFzgZTk,29484,Oltukai Dental,5,Keekonyokie Ward,Kajiado West Sub County,Kajiado County
dHfz2Btkj1g,29476,Barani Dispensary,5,Mtepeni Ward,Kilifi South Sub County,Kilifi County
ZrMriAIVDKS,25194,Maxcare medical clinic,5,Githobokoni Ward,Gatundu North Sub County,Kiambu County
OmVSMwEz8ZO,29483,Equity Afia Medical Clinic Nanyuki,5,Nanyuki Ward,Laikipia East Sub County,Laikipia County
JGo0DCtmYqd,29485,LHS Bahati Dispensary,5,Tigithi Ward,Laikipia East Sub County,Laikipia County
wiBgDbbyBsJ,29488,Unam Medical Centre Limited,5,Market Milimani Ward,Kisumu Central Sub County,Kisumu County
FhepCQWak7Y,29502,MURIUNDU DISPENSARY,5,Kabatini Ward,Nakuru North Sub County,Nakuru County
WNwyttpcBp3,28473,Koitebes Dispensary(Kesses),5,Cheptiret/Kipchamo Ward,Kesses Sub County,Uasin Gishu County
IDXYTuUUJSu,29496,Abby's medical clinic,5,Mwiyogo/Endarasha Ward,Kieni West Sub County,Nyeri County
oDjVrLLAQth,29501,Globcom Wellness Centre,5,North Alego Ward,Alego Usonga Sub County,Siaya County
Lmw7ijQcfaK,28088,ALFOMBIU MEDICAL CLINIC,5,Borabu/Chitago Ward,South Mugirango Sub County,Kisii County
UZlFjPJGpjz,13939,Jaramogi Oginga Odinga Teaching & Referral Hospital,5,Kondele Ward,Kisumu Central Sub County,Kisumu County
Aqw6Dbpsjk6,10100,Consolata Mission Hospital (Mathari),5,Kiganjo/Mathari Ward,Nyeri Central Sub County,Nyeri County
tbol6KrmPGN,29489,AGA KHAN MEDICAL CENTRE MWATATE,5,Mwatate Ward,Mwatate Sub County,Taita Taveta County
M9FApA3LhdU,29497,Brimm Medical Clinic,5,Kiamaina Ward,Nakuru North Sub County,Nakuru County
yoExW61ga83,13352,Griftu District Hospital,5,Arbajahan Ward,Wajir West Sub County,Wajir County
iaJHaCarLCH,29490,AGA KHAN MEDICAL CENTRE MWATATE,5,Mwatate Ward,Mwatate Sub County,Taita Taveta County
RykV1VBcLQa,29503,Dudu Dispensary,5,Ndavaya Ward,Kinango Sub County,Kwale County
kh69W34qkjJ,14260,Boma La Tumaini VCT,5,Kuku Ward,Loitokitok Sub County,Kajiado County
ZcV6P0RzRQN,29505,Eldoret Urosurgery Hospital Ltd,5,Kapsoya Ward,Ainabkoi Sub County,Uasin Gishu County
yQujnfNnzQJ,10049,Baricho Health Centre,5,Mukure Ward,Kirinyaga West Sub County,Kirinyaga County
eFnnlTL4wZ1,29493,Maclyn Healthcare Services and Pharma,5,Nyalenda B Ward,Kisumu Central Sub County,Kisumu County
bXtHge8eF8E,29506,Eldoret Urosurgery Hospital Ltd,5,Kapsoya Ward,Ainabkoi Sub County,Uasin Gishu County
UUbhK0ZeTTz,10398,Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary),5,Kiine Ward,Kirinyaga West Sub County,Kirinyaga County
sn67vJOAets,10991,Sagana Catholic Dispensary,5,Kariti Ward,Kirinyaga West Sub County,Kirinyaga County
nFyat4IIOsT,24203,Naj Hospital Ltd,5,Kiine Ward,Kirinyaga West Sub County,Kirinyaga County
K5ySjINF4J7,13707,Kiwa Island Dispensary,5,Gwassi North Ward,Suba South Sub County,Homa Bay County
X3SS0j72cX1,29101,Mwiki Health Centre,5,Mwiki Ward,Kasarani Sub County,Nairobi County
NM31Ji0SFI3,29507,Chelelmetio Dispensary,5,Tembelio Ward,Moiben Sub County,Uasin Gishu County
IHTsNNEaGdm,29510,ST. FRANCIS KIAMARIGA DISPENSARY,5,Salama Ward,Laikipia West Sub County,Laikipia County
ngqqwzhuvjL,13647,Gita Sub County Hospital,5,Kajulu Ward,Kisumu East Sub County,Kisumu County
VLQryvZ60bg,12116,K K Chogoria Clinic,5,Akirang'ondu Ward,Igembe Central Sub County,Meru County
xfNWSEyv3de,20241,Kobodo Dispensary,5,Kanyamwa Kologi Ward,Ndhiwa Sub County,Homa Bay County
yhbbHSyfK21,29295,Health Real Solution,5,Njukiine Ward,Kirinyaga East Sub County,Kirinyaga County
shewIoXUqyN,29278,Kieru Dispensary,5,Mbeu Ward,Tigania West Sub County,Meru County
eaLhacXYx8a,29279,Kiorimba Dispensary,5,Mbeu Ward,Tigania West Sub County,Meru County
KQZhY1YgnK8,14974,Kokiselei Dispensary,5,Lakezone Ward,Turkana North Sub County,Turkana County
xewc6QGE5mk,29283,Provide Medical Centre,5,Mathare North Ward,Ruaraka Sub County,Nairobi County
wAjgw2d9AAy,29287,ST David Medical Clinic,5,Ngobit Ward,Laikipia East Sub County,Laikipia County
ePoc8hiKxjv,29517,Embassy Medicare Clinic,5,Kipchebor Ward,Ainamoi Sub County,Kericho County
URDyI1NH44m,26559,Edali Medical Clinic,5,Ongata Rongai Ward,Kajiado North Sub County,Kajiado County
RzmwckBPtNO,29518,Vision Klik Medical Services Limited,5,Hospital Ward,Thika Town Sub County,Kiambu County
oVK7elSa9Pg,24458,Nais Medical Clinic,5,Ongata Rongai Ward,Kajiado North Sub County,Kajiado County
Ua0To7GPLd5,27063,Equity Afya Medical Clinic Ngong,5,Ngong Ward,Kajiado North Sub County,Kajiado County
rmz1Vep9PBa,25702,Annie Hospital,5,Hospital Ward,Kiminini Sub County,Trans Nzoia County
